product_category_name	total_products	total_orders	total_revenue	avg_review_score	avg_delay_rate	avg_freight_ratio	dwh_create_date
sinalizacao_e_seguranca	92	139	27677.32	4.06	5.36	50.03	2026-05-15 15:12:26.650
portateis_casa_forno_e_cafe	30	73	49069.32	4.19	1.18	23.59	2026-05-15 15:12:26.650
informatica_acessorios	1625	6795	1045746.31	3.92	7.83	30.13	2026-05-15 15:12:26.650
eletrodomesticos	363	752	94038.49	4.11	7.12	38.64	2026-05-15 15:12:26.650
moveis_decoracao	2637	6694	891439.59	3.86	8.14	34.54	2026-05-15 15:12:26.650
telefonia	1126	4234	390845.77	3.91	8.04	48.90	2026-05-15 15:12:26.650
instrumentos_musicais	287	630	206386.32	4.05	10.16	21.62	2026-05-15 15:12:26.650
tablets_impressao_imagem	9	79	8754.61	3.44	5.61	32.93	2026-05-15 15:12:26.650
cool_stuff	785	3616	713604.74	4.08	6.59	21.43	2026-05-15 15:12:26.650
malas_acessorios	346	1035	167317.47	4.33	5.77	25.94	2026-05-15 15:12:26.650
fashion_bolsas_e_acessorios	846	1957	182414.55	4.08	6.67	35.83	2026-05-15 15:12:26.650
portateis_cozinha_e_preparadores_de_alimentos	10	14	4278.29	3.27	3.33	39.04	2026-05-15 15:12:26.650
cds_dvds_musicais	1	12	954.99	4.64	0.00	30.82	2026-05-15 15:12:26.650
papelaria	844	2349	274521.90	4.19	8.08	31.55	2026-05-15 15:12:26.650
construcao_ferramentas_construcao	393	765	160435.21	4.07	8.04	33.97	2026-05-15 15:12:26.650
