customer_sk	lifetime_orders	lifetime_value	avg_order_value	avg_review_score	avg_delivery_days	favorite_category	rfm_segment	customer_segment	created_at
50	1	92.18	92.18	5	8	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
51	1	57.73	57.73	3	10	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
52	1	214.08	214.08	1	3	papelaria	REGULAR	NEW	2026-05-15 15:13:42.783
53	1	46.78	46.78	5	3	perfumaria	REGULAR	NEW	2026-05-15 15:13:42.783
54	1	354.87	354.87	3	23	moveis_escritorio	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
55	1	118.20	118.20	5	9	eletronicos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
56	1	257.87	257.87	3	12	beleza_saude	CHAMPIONS	NEW	2026-05-15 15:13:42.783
57	1	52.38	52.38	2	NULL	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
58	1	217.74	217.74	1	58	construcao_ferramentas_construcao	REGULAR	NEW	2026-05-15 15:13:42.783
59	1	218.66	218.66	3	12	beleza_saude	CHAMPIONS	NEW	2026-05-15 15:13:42.783
60	1	64.42	64.42	2	9	fashion_bolsas_e_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
61	1	38.09	38.09	5	9	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
62	1	228.67	228.67	1	30	moveis_escritorio	CHAMPIONS	NEW	2026-05-15 15:13:42.783
63	1	28.76	28.76	4	7	bebidas	REGULAR	NEW	2026-05-15 15:13:42.783
64	1	130.56	130.56	5	10	livros_interesse_geral	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
65	1	52.38	52.38	5	1	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
66	1	137.99	137.99	5	12	beleza_saude	CHAMPIONS	NEW	2026-05-15 15:13:42.783
67	1	109.79	109.79	5	2	eletronicos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
68	1	114.04	114.04	4	9	cama_mesa_banho	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
69	1	77.57	77.57	1	33	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
70	1	62.47	62.47	5	7	consoles_games	REGULAR	NEW	2026-05-15 15:13:42.783
71	1	536.60	536.60	5	9	livros_interesse_geral	REGULAR	NEW	2026-05-15 15:13:42.783
72	1	109.78	109.78	5	13	utilidades_domesticas	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
73	1	144.94	144.94	4	26	brinquedos	CHAMPIONS	NEW	2026-05-15 15:13:42.783
74	1	62.45	62.45	5	7	moveis_sala	REGULAR	NEW	2026-05-15 15:13:42.783
75	1	425.04	425.04	5	10	cool_stuff	REGULAR	NEW	2026-05-15 15:13:42.783
76	1	226.23	226.23	3	14	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
77	1	44.23	44.23	5	8	eletrodomesticos	REGULAR	NEW	2026-05-15 15:13:42.783
78	1	546.12	546.12	5	5	malas_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
79	1	21.77	21.77	4	2	perfumaria	REGULAR	NEW	2026-05-15 15:13:42.783
80	1	42.62	42.62	5	14	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
81	1	162.77	162.77	4	7	moveis_decoracao	CHAMPIONS	NEW	2026-05-15 15:13:42.783
82	1	109.50	109.50	5	19	artigos_de_natal	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
83	1	237.00	237.00	4	16	cool_stuff	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
84	1	65.78	65.78	2	46	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
85	1	443.73	443.73	3	31	automotivo	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
86	1	143.73	143.73	5	8	moveis_decoracao	CHAMPIONS	NEW	2026-05-15 15:13:42.783
87	1	228.79	228.79	5	13	utilidades_domesticas	CHAMPIONS	NEW	2026-05-15 15:13:42.783
88	1	107.81	107.81	5	4	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
89	1	119.32	119.32	3	8	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
90	1	181.82	181.82	5	13	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
91	1	157.46	157.46	5	10	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
92	1	36.98	36.98	5	7	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
93	1	216.32	216.32	3	12	pet_shop	REGULAR	NEW	2026-05-15 15:13:42.783
94	1	147.38	147.38	3	10	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
95	1	142.51	142.51	5	3	cama_mesa_banho	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
96	1	178.59	178.59	5	21	cama_mesa_banho	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
97	1	542.66	542.66	4	6	livros_interesse_geral	REGULAR	NEW	2026-05-15 15:13:42.783
98	1	137.26	137.26	5	4	brinquedos	CHAMPIONS	NEW	2026-05-15 15:13:42.783
99	1	63.74	63.74	4	2	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
100	1	162.79	162.79	5	17	unknown	CHAMPIONS	NEW	2026-05-15 15:13:42.783
101	1	77.59	77.59	5	5	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
102	1	103.47	103.47	3	30	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
103	1	433.98	433.98	1	18	moveis_escritorio	CHAMPIONS	NEW	2026-05-15 15:13:42.783
104	1	259.15	259.15	5	12	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
105	2	354.37	177.19	5	6.5	malas_acessorios	LOYAL_CUSTOMERS	REGULAR	2026-05-15 15:13:42.783
106	1	85.04	85.04	4	13	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
107	1	62.91	62.91	5	8	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
108	1	64.42	64.42	5	9	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
109	1	52.38	52.38	4	10	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
110	1	128.95	128.95	5	7	cama_mesa_banho	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
111	1	83.32	83.32	3	6	brinquedos	REGULAR	NEW	2026-05-15 15:13:42.783
112	1	24.13	24.13	5	8	utilidades_domesticas	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
113	1	112.33	112.33	5	100	brinquedos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
114	1	76.18	76.18	4	9	pet_shop	REGULAR	NEW	2026-05-15 15:13:42.783
115	1	82.65	82.65	4	5	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
116	1	41.04	41.04	5	6	casa_construcao	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
117	1	32.77	32.77	5	7	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
118	1	26.01	26.01	3	22	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
119	1	109.04	109.04	2	14	moveis_decoracao	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
120	1	44.18	44.18	5	7	telefonia	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
121	1	84.01	84.01	5	11	unknown	REGULAR	NEW	2026-05-15 15:13:42.783
122	1	25.90	25.90	1	NULL	NULL	REGULAR	NEW	2026-05-15 15:13:42.783
123	2	147.72	73.86	3	24	ferramentas_jardim	AT_RISK	REGULAR	2026-05-15 15:13:42.783
124	1	158.74	158.74	5	6	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
125	1	39.78	39.78	5	2	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
126	1	993.55	993.55	3	10	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
127	1	109.29	109.29	3	4	malas_acessorios	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
128	1	189.08	189.08	4	15	moveis_escritorio	REGULAR	NEW	2026-05-15 15:13:42.783
129	1	198.70	198.70	3	6	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
130	1	68.22	68.22	5	13	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
131	1	127.98	127.98	5	9	moveis_sala	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
132	1	1600.51	1600.51	5	6	eletrodomesticos_2	REGULAR	NEW	2026-05-15 15:13:42.783
133	1	58.25	58.25	4	3	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
134	1	73.96	73.96	5	12	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
135	1	364.75	364.75	5	13	eletroportateis	CHAMPIONS	NEW	2026-05-15 15:13:42.783
136	1	83.23	83.23	5	19	livros_interesse_geral	REGULAR	NEW	2026-05-15 15:13:42.783
137	1	171.88	171.88	5	9	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
138	1	109.23	109.23	5	9	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
139	1	258.38	258.38	5	11	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
140	1	32.38	32.38	4	17	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
141	1	82.86	82.86	4	1	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
142	1	78.88	78.88	4	5	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
143	2	175.58	87.79	3	13	malas_acessorios	AT_RISK	REGULAR	2026-05-15 15:13:42.783
144	1	46.69	46.69	5	10	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
145	1	89.25	89.25	5	6	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
146	1	49.60	49.60	5	9	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
147	1	187.96	187.96	4	16	esporte_lazer	CHAMPIONS	NEW	2026-05-15 15:13:42.783
148	1	777.68	777.68	3	15	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
149	1	63.90	63.90	4	5	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
150	1	272.04	272.04	5	5	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
151	1	236.81	236.81	5	12	moveis_escritorio	CHAMPIONS	NEW	2026-05-15 15:13:42.783
152	1	204.83	204.83	5	5	cama_mesa_banho	CHAMPIONS	NEW	2026-05-15 15:13:42.783
153	1	31.13	31.13	5	33	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
154	1	154.53	154.53	5	17	cool_stuff	REGULAR	NEW	2026-05-15 15:13:42.783
155	1	149.87	149.87	5	18	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
156	1	71.38	71.38	5	14	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
157	1	269.20	269.20	5	12	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
158	1	65.33	65.33	4	9	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
159	1	23.72	23.72	1	4	automotivo	REGULAR	NEW	2026-05-15 15:13:42.783
160	1	119.32	119.32	4	11	pet_shop	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
161	1	31.22	31.22	4	5	papelaria	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
162	1	94.35	94.35	4	7	esporte_lazer	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
163	1	190.28	190.28	5	13	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
164	1	79.51	79.51	5	7	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
165	1	66.64	66.64	2	34	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
166	1	300.60	300.60	1	52	brinquedos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
167	1	108.46	108.46	5	10	papelaria	REGULAR	NEW	2026-05-15 15:13:42.783
168	1	34.00	34.00	5	20	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
169	1	77.22	77.22	5	4	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
170	1	99.32	99.32	5	9	cool_stuff	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
171	1	199.79	199.79	5	3	telefonia	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
172	1	61.77	61.77	5	4	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
173	1	46.10	46.10	5	12	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
174	1	123.39	123.39	4	10	esporte_lazer	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
175	1	47.93	47.93	5	4	utilidades_domesticas	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
176	1	174.54	174.54	3	NULL	NULL	CHAMPIONS	NEW	2026-05-15 15:13:42.783
177	1	118.54	118.54	5	9	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
178	1	211.01	211.01	5	32	relogios_presentes	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
179	1	78.20	78.20	1	26	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
180	1	624.90	624.90	5	22	moveis_escritorio	REGULAR	NEW	2026-05-15 15:13:42.783
181	1	233.93	233.93	5	4	brinquedos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
182	1	119.45	119.45	4	23	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
183	1	215.01	215.01	5	6	cama_mesa_banho	CHAMPIONS	NEW	2026-05-15 15:13:42.783
184	1	70.53	70.53	5	13	brinquedos	REGULAR	NEW	2026-05-15 15:13:42.783
185	1	321.57	321.57	3	12	malas_acessorios	CHAMPIONS	NEW	2026-05-15 15:13:42.783
186	1	159.65	159.65	4	15	moveis_escritorio	REGULAR	NEW	2026-05-15 15:13:42.783
187	1	874.42	874.42	5	31	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
188	1	66.72	66.72	5	10	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
189	1	44.09	44.09	4	19	telefonia	REGULAR	NEW	2026-05-15 15:13:42.783
190	1	112.08	112.08	1	25	cool_stuff	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
191	1	67.36	67.36	5	7	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
192	1	41.69	41.69	5	9	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
193	1	64.00	64.00	4	9	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
194	1	126.48	126.48	5	20	esporte_lazer	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
195	1	90.85	90.85	5	6	moveis_decoracao	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
196	1	40.94	40.94	4	18	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
197	1	147.78	147.78	2	12	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
198	1	67.57	67.57	5	18	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
199	1	70.75	70.75	1	41	casa_construcao	REGULAR	NEW	2026-05-15 15:13:42.783
200	1	42.35	42.35	5	21	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
201	1	64.55	64.55	5	31	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
202	1	504.47	504.47	2	16	esporte_lazer	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
203	1	349.53	349.53	5	16	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
204	1	260.55	260.55	5	2	beleza_saude	CHAMPIONS	NEW	2026-05-15 15:13:42.783
205	1	183.05	183.05	4	10	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
206	1	151.11	151.11	5	14	ferramentas_jardim	CHAMPIONS	NEW	2026-05-15 15:13:42.783
207	1	90.50	90.50	5	6	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
208	1	45.13	45.13	4	23	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
209	1	136.64	136.64	5	12	papelaria	REGULAR	NEW	2026-05-15 15:13:42.783
210	1	132.05	132.05	5	6	beleza_saude	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
211	1	64.04	64.04	4	29	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
212	1	336.56	336.56	5	19	perfumaria	CHAMPIONS	NEW	2026-05-15 15:13:42.783
213	1	40.77	40.77	5	9	telefonia_fixa	REGULAR	NEW	2026-05-15 15:13:42.783
214	1	166.59	166.59	5	8	brinquedos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
215	1	30.27	30.27	5	8	ferramentas_jardim	REGULAR	NEW	2026-05-15 15:13:42.783
216	1	25.85	25.85	5	15	brinquedos	REGULAR	NEW	2026-05-15 15:13:42.783
217	1	108.83	108.83	5	12	eletronicos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
218	1	93.78	93.78	2	10	perfumaria	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
219	1	149.69	149.69	2	2	cool_stuff	CHAMPIONS	NEW	2026-05-15 15:13:42.783
220	1	226.22	226.22	5	14	cama_mesa_banho	CHAMPIONS	NEW	2026-05-15 15:13:42.783
221	1	43.58	43.58	4	9	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
222	1	185.83	185.83	5	13	fashion_underwear_e_moda_praia	CHAMPIONS	NEW	2026-05-15 15:13:42.783
223	1	110.72	110.72	5	14	cool_stuff	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
224	1	770.24	770.24	1	8	utilidades_domesticas	CHAMPIONS	NEW	2026-05-15 15:13:42.783
225	1	186.92	186.92	5	10	moveis_decoracao	CHAMPIONS	NEW	2026-05-15 15:13:42.783
226	1	147.97	147.97	5	21	informatica_acessorios	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
227	1	35.40	35.40	2	14	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
228	1	101.73	101.73	5	3	moveis_decoracao	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
229	1	227.63	227.63	1	2	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
230	1	66.91	66.91	4	11	papelaria	REGULAR	NEW	2026-05-15 15:13:42.783
231	1	79.38	79.38	5	7	brinquedos	REGULAR	NEW	2026-05-15 15:13:42.783
232	1	98.16	98.16	4	10	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
233	1	147.55	147.55	5	9	pet_shop	CHAMPIONS	NEW	2026-05-15 15:13:42.783
234	1	91.29	91.29	5	NULL	livros_importados	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
235	1	21.04	21.04	5	1	eletronicos	REGULAR	NEW	2026-05-15 15:13:42.783
236	1	40.95	40.95	1	NULL	NULL	REGULAR	NEW	2026-05-15 15:13:42.783
237	1	136.80	136.80	4	22	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
238	1	49.69	49.69	2	24	bebes	REGULAR	NEW	2026-05-15 15:13:42.783
239	1	144.31	144.31	3	10	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
240	1	199.26	199.26	5	8	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
241	1	42.47	42.47	4	5	beleza_saude	LOST_CUSTOMERS	NEW	2026-05-15 15:13:42.783
242	1	101.34	101.34	4	12	perfumaria	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
243	1	114.58	114.58	3	17	relogios_presentes	REGULAR	NEW	2026-05-15 15:13:42.783
244	1	36.48	36.48	4	2	cool_stuff	REGULAR	NEW	2026-05-15 15:13:42.783
245	1	66.99	66.99	4	14	informatica_acessorios	REGULAR	NEW	2026-05-15 15:13:42.783
246	1	116.84	116.84	5	6	utilidades_domesticas	REGULAR	NEW	2026-05-15 15:13:42.783
247	2	123.25	61.63	4	17.5	eletronicos	AT_RISK	REGULAR	2026-05-15 15:13:42.783
248	1	105.08	105.08	4	20	pet_shop	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
249	1	60.05	60.05	5	18	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
250	1	182.29	182.29	4	6	brinquedos	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
251	1	64.42	64.42	2	8	esporte_lazer	REGULAR	NEW	2026-05-15 15:13:42.783
252	1	259.40	259.40	5	6	cool_stuff	REGULAR	NEW	2026-05-15 15:13:42.783
253	1	132.48	132.48	1	61	bebes	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
254	1	33.37	33.37	5	2	cama_mesa_banho	REGULAR	NEW	2026-05-15 15:13:42.783
255	1	144.66	144.66	5	3	perfumaria	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
256	1	40.60	40.60	5	23	automotivo	REGULAR	NEW	2026-05-15 15:13:42.783
257	1	231.45	231.45	5	11	malas_acessorios	CHAMPIONS	NEW	2026-05-15 15:13:42.783
258	1	78.51	78.51	5	6	pet_shop	REGULAR	NEW	2026-05-15 15:13:42.783
259	1	100.54	100.54	5	2	malas_acessorios	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
260	1	2148.40	2148.40	1	7	relogios_presentes	CHAMPIONS	NEW	2026-05-15 15:13:42.783
261	1	276.11	276.11	1	7	moveis_decoracao	REGULAR	NEW	2026-05-15 15:13:42.783
262	1	140.00	140.00	5	22	beleza_saude	CHAMPIONS	NEW	2026-05-15 15:13:42.783
263	1	148.76	148.76	5	32	bebidas	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
264	1	138.41	138.41	5	12	pet_shop	CHAMPIONS	NEW	2026-05-15 15:13:42.783
265	1	418.17	418.17	5	10	construcao_ferramentas_seguranca	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
266	1	64.58	64.58	5	7	beleza_saude	REGULAR	NEW	2026-05-15 15:13:42.783
267	1	226.14	226.14	1	10	perfumaria	LOYAL_CUSTOMERS	NEW	2026-05-15 15:13:42.783
268	1	146.90	146.90	1	4	papelaria	CHAMPIONS	NEW	2026-05-15 15:13:42.783
