seller_sk	seller_id	seller_zip_code_prefix	seller_city	seller_state	first_sale_date	last_sale_date	total_orders	total_items_sold	total_sales_amount	avg_item_price	is_top_seller	dwh_create_date
33	02d35243ea2e497335cd0f076b45675d	59077	natal	RN	2017-04-29	2018-08-02	14	16	5794.00	362.13	0	2026-05-13 13:24:56.700
34	02dcd3e8e25bee036e32512bcf175493	32310	contagem	MG	2017-10-28	2018-08-22	14	17	1491.90	87.76	0	2026-05-13 13:24:56.700
35	02ecc2a19303f05e59ce133fd923fff7	9121	santo andre	SP	2017-06-18	2018-08-21	21	24	5264.19	219.34	0	2026-05-13 13:24:56.700
36	02f5837340d7eb4f653d676c7256523a	80620	curitiba	PR	2017-11-01	2018-08-08	30	30	3883.05	129.43	0	2026-05-13 13:24:56.700
37	02f623a8eb246f3c5f7c2f96462654e6	18611	botucatu	SP	2018-04-25	2018-08-22	44	44	6378.00	144.95	0	2026-05-13 13:24:56.700
38	0307f7565ff85b299b6e5ef162b1b1a9	15085	sao jose do rio preto	SP	2016-10-10	2017-05-25	7	7	4728.80	675.54	0	2026-05-13 13:24:56.700
39	0336182e1b3e92f029d5354832045fdf	14940	ibitinga	SP	2016-10-05	2016-10-05	1	2	29.80	14.90	0	2026-05-13 13:24:56.700
40	034b9387752bfa309f350a70cd45ffa3	89036	blumenau	SC	2018-04-11	2018-08-22	8	8	96.00	12.00	0	2026-05-13 13:24:56.700
41	038b75b729c8a9a04b0d07cba7eabe86	12231	sao jose dos campos	SP	2018-04-20	2018-04-22	2	2	467.00	233.50	0	2026-05-13 13:24:56.700
42	039b29ff3b3473435d0cd59040575de9	9443	ribeirao pires	SP	2018-04-26	2018-08-23	9	9	114.90	12.77	0	2026-05-13 13:24:56.700
43	039e6ad9dae79614493083e241147386	3560	sao paulo	SP	2018-04-03	2018-07-10	5	5	12925.00	2585.00	0	2026-05-13 13:24:56.700
44	03a2a6dcbe45d639c4dc2a0d24769c40	9340	maua	SP	2018-03-13	2018-08-15	9	9	1078.41	119.82	0	2026-05-13 13:24:56.700
45	03bd479e1d9484cdb14104d3023f7321	38401	uberlandia	MG	2018-05-09	2018-07-24	3	3	359.70	119.90	0	2026-05-13 13:24:56.700
46	0417b067eeab773d2f7061a726dc477f	89288	sao bento do sul	SC	2018-03-01	2018-08-20	13	13	1859.18	143.01	0	2026-05-13 13:24:56.700
47	042573af89b6d931f672efaf789d8358	18015	sorocaba	SP	2018-01-21	2018-02-11	3	3	413.48	137.83	0	2026-05-13 13:24:56.700
48	04308b1ee57b6625f47df1d56f00eedf	88215	bombinhas	SC	2017-11-14	2018-08-12	94	94	60130.60	639.69	0	2026-05-13 13:24:56.700
49	0432ead42b6c8a0bdf68154add917fdf	9320	maua	SP	2017-04-02	2018-07-27	85	90	7792.10	86.58	0	2026-05-13 13:24:56.700
50	044668ccd5316b12a7cf0d54a156e3e9	6016	osasco	SP	2018-08-08	2018-08-20	3	4	137.80	34.45	0	2026-05-13 13:24:56.700
51	04843805947f0fc584fc1969b6e50fe7	93900	ivoti	RS	2018-08-05	2018-08-05	1	2	1400.00	700.00	0	2026-05-13 13:24:56.700
52	048c2757535328e0d7dac690ad3c0aae	14406	franca	SP	2017-03-04	2018-08-21	51	51	9264.78	181.66	0	2026-05-13 13:24:56.700
53	04aa0a1c5ce6b222003403a3e11c3cc0	13150	cosmopolis	SP	2017-03-22	2018-01-24	11	17	5518.00	324.59	0	2026-05-13 13:24:56.700
54	04aba03279157f6d4e0fe8ccaf21963c	28470	santo antonio de padua	RJ	2017-05-10	2018-08-26	16	16	2575.90	160.99	0	2026-05-13 13:24:56.700
55	04e38a233f726ef161074ab1c9b0399a	1239	sao paulo	SP	2017-09-15	2018-05-05	23	28	1352.20	48.29	0	2026-05-13 13:24:56.700
56	04ee0ec01589969663ba5967c0e0bdc0	95910	lajeado	RS	2018-08-21	2018-08-21	1	1	289.49	289.49	0	2026-05-13 13:24:56.700
57	04fdea0c111866e6cf812f1570d6b5bd	8411	sao paulo	SP	2017-10-14	2018-01-31	10	10	1055.00	105.50	0	2026-05-13 13:24:56.700
58	0509040ea3fe50071181bbc359eb7738	31710	belo horizonte	MG	2017-05-03	2018-08-02	89	98	3737.95	38.14	0	2026-05-13 13:24:56.700
59	052577151711aec5c744fe12e66db3e1	89136	rodeio	SC	2017-10-26	2017-12-20	4	4	2748.00	687.00	0	2026-05-13 13:24:56.700
60	054694fa03fe82cec4b7551487331d74	15840	itajobi	SP	2017-01-07	2018-04-09	21	22	9983.10	453.78	0	2026-05-13 13:24:56.700
61	056b4ada5bbc2c50cc7842547dda6b51	26379	queimados	RJ	2017-12-01	2018-08-23	65	66	12333.39	186.87	0	2026-05-13 13:24:56.700
62	0570350b23eda5444f8d1d9544932058	5104	sao paulo	SP	2018-04-12	2018-05-22	6	11	626.90	56.99	0	2026-05-13 13:24:56.700
63	05730013efda596306417c3b09302475	88813	criciuma	SC	2018-07-06	2018-08-22	4	4	952.00	238.00	0	2026-05-13 13:24:56.700
64	058cb5aeb36d7c0fcae20fc85d5e0a59	21635	rio de janeiro	RJ	2017-09-25	2018-08-14	12	13	1328.00	102.15	0	2026-05-13 13:24:56.700
65	058fd0aa2bfdb2274e05e1ae971dabb6	9020	santo andre	SP	2017-08-03	2018-06-07	61	64	7667.90	119.81	0	2026-05-13 13:24:56.700
66	05a48cc8859962767935ab9087417fbb	5372	sao paulo	SP	2018-08-02	2018-08-02	1	1	42.90	42.90	0	2026-05-13 13:24:56.700
67	05a940b4ecae36cadfd8e93bd9c43257	74305	goiania	GO	2017-07-16	2018-02-19	10	10	952.00	95.20	0	2026-05-13 13:24:56.700
68	05aebce0b5c8f0d41b29b686f2d05fd3	3962	sao paulo	SP	2018-03-05	2018-08-10	2	2	74.99	37.50	0	2026-05-13 13:24:56.700
69	05ca864204d09595ae591b93ea9cf93d	6465	barueri	SP	2018-08-16	2018-08-16	1	1	179.90	179.90	0	2026-05-13 13:24:56.700
70	05d2173d43ea568aa0540eba70d2ca76	37135	alfenas	MG	2017-09-27	2018-08-12	62	66	5759.66	87.27	0	2026-05-13 13:24:56.700
71	05e107217c7266362fd44b75b2cd4cc4	5353	sao paulo - sp	SP	2018-06-29	2018-08-21	5	8	193.38	24.17	0	2026-05-13 13:24:56.700
72	05f51e13da97139648b8125c31e5f51b	31910	belo horizonte	MG	2017-07-10	2018-03-23	60	63	13769.01	218.56	0	2026-05-13 13:24:56.700
73	05feb94f19d094d4b0f9281f0b1d4c99	8752	mogi das cruzes	SP	2017-08-14	2018-02-18	6	6	9353.00	1558.83	0	2026-05-13 13:24:56.700
74	05ff92fedb5be47920fea08e501238b9	98803	santo angelo	RS	2016-10-04	2018-08-07	59	62	21992.78	354.72	0	2026-05-13 13:24:56.700
75	062c325cd6a2b87845fab56b4ec2eeae	8150	sao paulo	SP	2018-05-07	2018-08-01	2	2	133.22	66.61	0	2026-05-13 13:24:56.700
76	062ce95fa2ad4dfaedfc79260130565f	95913	lajeado	RS	2017-01-26	2017-09-10	55	60	7521.00	125.35	0	2026-05-13 13:24:56.700
77	06532f10282704ef4c69168b914b77be	87140	paincandu	PR	2017-03-03	2017-08-18	8	9	10220.50	1135.61	0	2026-05-13 13:24:56.700
78	06579cb253ecd5a3a12a9e6eb6bf8f47	4007	sao paulo - sp	SP	2017-08-03	2018-08-11	62	72	4727.20	65.66	0	2026-05-13 13:24:56.700
79	066a6914e1ebf3ea95a216c73a986b91	85863	foz do iguacu	PR	2016-10-06	2018-08-10	68	74	9410.38	127.17	0	2026-05-13 13:24:56.700
80	0691148aee60ca47977c187804f935ae	86010	londrina	PR	2017-11-24	2018-08-27	47	53	5868.51	110.73	0	2026-05-13 13:24:56.700
81	0692610d8abe24f287e9fae90ea0bbee	2310	sao paulo	SP	2018-06-02	2018-08-22	4	4	173.99	43.50	0	2026-05-13 13:24:56.700
82	06a2c3af7b3aee5d69171b0e14f0ee87	65072	sao luis	MA	2018-01-19	2018-08-22	392	405	36408.95	89.90	0	2026-05-13 13:24:56.700
83	06bb3a2fe5e7b7a845b13e8fb91bd944	31844	belo horizonte	MG	2017-09-11	2018-06-24	17	18	1536.19	85.34	0	2026-05-13 13:24:56.700
84	06df0c10d34e459d9672bc77388742eb	87045	maringa	PR	2018-03-16	2018-08-06	26	30	9070.00	302.33	0	2026-05-13 13:24:56.700
85	06e5eefc71ec47ae763c5c6f8db7064f	91350	porto alegre	RS	2017-04-25	2018-08-22	92	95	22188.56	233.56	0	2026-05-13 13:24:56.700
86	07017df32dc5f2f1d2801e579548d620	58030	joao pessoa	PB	2017-03-08	2018-07-29	8	9	946.49	105.17	0	2026-05-13 13:24:56.700
87	070d165398b553f3b4b851c216b8a358	3916	sao paulo	SP	2017-08-24	2018-08-16	32	39	3393.16	87.00	0	2026-05-13 13:24:56.700
88	0725b8c0f3f906e58f70cbe76b7c748c	7023	guarulhos	SP	2017-01-20	2018-08-07	17	37	2190.30	59.20	0	2026-05-13 13:24:56.700
89	0743a0239d764b9a0f959a57d07e36ab	3138	sao paulo	SP	2018-07-24	2018-08-04	4	4	336.96	84.24	0	2026-05-13 13:24:56.700
90	0747d5bb69f0586cc869d8af4c50f93e	28990	saquarema	RJ	2016-10-06	2017-06-25	14	15	346.60	23.11	0	2026-05-13 13:24:56.700
91	0761743cbffb25d7148189e9f1a5f03a	14096	ribeirao preto	SP	2017-11-30	2018-02-02	3	7	241.20	34.46	0	2026-05-13 13:24:56.700
92	077c5fae4bea9500e3737b16f71b9d3a	18052	sorocaba	SP	2017-09-19	2018-06-22	4	6	106.80	17.80	0	2026-05-13 13:24:56.700
93	0791d9fc1e30678ecf03d3e55fa108d3	30775	belo horizonte	MG	2018-05-15	2018-07-24	5	11	842.00	76.55	0	2026-05-13 13:24:56.700
94	079d295dcbf06ee8bb1b65ba964eb2b6	2124	sao paulo	SP	2018-06-25	2018-08-09	5	10	349.30	34.93	0	2026-05-13 13:24:56.700
95	07a9bc7f61396b658ddf3ac534efe44c	2925	sao paulo	SP	2017-06-26	2017-06-26	1	1	119.90	119.90	0	2026-05-13 13:24:56.700
96	07bf9669d84d1f11be443a9dd938f698	4761	sao paulo	SP	2017-03-08	2018-06-27	18	24	1776.00	74.00	0	2026-05-13 13:24:56.700
97	07d75e33f2750d97d467fb57e4dfdd8a	2117	sao paulo	SP	2018-03-06	2018-05-07	2	2	722.40	361.20	0	2026-05-13 13:24:56.700
98	07de60b03d150fb3ea09eab5da5e4c8b	14940	ibitinga	SP	2018-01-31	2018-08-18	9	9	719.10	79.90	0	2026-05-13 13:24:56.700
99	07e8e8fc5222bb358e6f259da3197074	4216	sao paulo	SP	2018-02-21	2018-08-08	2	2	51.80	25.90	0	2026-05-13 13:24:56.700
100	080102cd0a76b09e0dcf55fcacc60e05	31140	belo horizonte	MG	2017-07-23	2018-08-26	124	130	5716.78	43.98	0	2026-05-13 13:24:56.700
101	080199a181c46c657dc5aa235411be3b	6097	osasco	SP	2017-09-20	2018-08-24	79	83	14504.20	174.75	0	2026-05-13 13:24:56.700
102	08061dc0fc165ed41288cc7acde738ee	6036	osasco	SP	2017-03-23	2017-11-14	4	4	123.80	30.95	0	2026-05-13 13:24:56.700
103	08084d990eb3f53af056ccbc1730c8a7	3612	sao paulo	SP	2018-02-08	2018-08-14	12	12	372.50	31.04	0	2026-05-13 13:24:56.700
104	081acf3de680d554796c9cf041be7bc2	33200	vespasiano	MG	2017-11-27	2018-05-23	4	8	1597.30	199.66	0	2026-05-13 13:24:56.700
105	082e0bf4cb865a6533b1e8e498cc0255	18608	botucatu	SP	2017-10-29	2018-08-17	11	23	2073.30	90.14	0	2026-05-13 13:24:56.700
106	085f6f7e049c996695fb2074fe38d45e	12020	taubate	SP	2018-02-26	2018-05-02	6	8	305.40	38.17	0	2026-05-13 13:24:56.700
107	08633c14ef2db992c11f840f04fad4cd	9416	ribeirao pires	SP	2017-12-13	2018-08-24	74	97	7644.30	78.81	0	2026-05-13 13:24:56.700
108	0873d9f8f36123f8d910f4760e788cfb	6465	barueri	SP	2018-05-07	2018-08-14	6	6	7265.59	1210.93	0	2026-05-13 13:24:56.700
109	0885aaf116795758dfeb5f1032487bcd	8541	ferraz de vasconcelos	SP	2017-12-14	2018-08-19	28	30	2648.00	88.27	0	2026-05-13 13:24:56.700
110	0887a9f087bcd5d9f6642b52f897fc6c	11990	cananeia	SP	2017-02-02	2017-08-05	12	12	1642.00	136.83	0	2026-05-13 13:24:56.700
111	08ad4ac1388e4420ca531c3edfc46198	6663	itapevi	SP	2018-06-11	2018-08-18	6	7	221.62	31.66	0	2026-05-13 13:24:56.700
112	08cdbae123ff67ca4e36d9d641ce0119	36504	uba	MG	2018-02-20	2018-07-29	4	6	3098.99	516.50	0	2026-05-13 13:24:56.700
113	08d0949a9a17c027262db1f3c450c26c	85804	cascavel	PR	2017-08-21	2018-08-23	12	12	324.80	27.07	0	2026-05-13 13:24:56.700
114	08d1c9478fb0d7d7fcac9c0da4e82fc7	31110	belo horizonte	MG	2018-06-12	2018-06-12	1	1	538.00	538.00	0	2026-05-13 13:24:56.700
115	08d2d642cf72b622b14dde1d2f5eb2f5	17512	marilia	SP	2017-02-12	2017-12-06	17	21	914.00	43.52	0	2026-05-13 13:24:56.700
116	08f5819815f3d06545011850bd70f0a8	11075	santos	SP	2018-06-21	2018-08-12	3	3	452.00	150.67	0	2026-05-13 13:24:56.700
117	091065b789659bc3cd9af9cb3a6253ff	92120	canoas	RS	2017-10-15	2018-01-18	2	2	1359.00	679.50	0	2026-05-13 13:24:56.700
118	0936e1837d0c79253456bbb2ffaaef10	2050	sao paulo	SP	2017-04-11	2017-04-11	1	2	38.90	19.45	0	2026-05-13 13:24:56.700
119	093805f8f2aeb63881444571e1f48f30	6236	osasco	SP	2017-08-31	2018-01-30	22	27	1215.79	45.03	0	2026-05-13 13:24:56.700
120	094ced053e257ae8cae57205592d6712	14095	ribeirao preto	SP	2018-04-04	2018-07-30	19	19	1519.20	79.96	0	2026-05-13 13:24:56.700
121	0951a6e282947e09cd47969f4ed0b47f	6763	taboao da serra	SP	2018-07-26	2018-08-27	7	7	492.30	70.33	0	2026-05-13 13:24:56.700
122	09883d9ab71c8fe8a9bfc7fc3075b07e	8180	sao paulo	SP	2017-04-25	2017-11-24	5	5	329.50	65.90	0	2026-05-13 13:24:56.700
123	099095b050cfe8eb1ddff5317587e96e	3322	sao paulo	SP	2017-12-16	2018-08-13	17	20	5193.83	259.69	0	2026-05-13 13:24:56.700
124	09bad886111255c5b5030314fc7f1a4a	1022	sao paulo	SP	2018-08-08	2018-08-27	5	5	487.50	97.50	0	2026-05-13 13:24:56.700
125	09f952a5f58d2285b0372551ae8f9b01	9725	sao bernardo do campo	SP	2017-09-15	2018-08-24	50	56	11821.50	211.10	0	2026-05-13 13:24:56.700
126	0a198e95d32b1be2da9424c962a6ebfa	32260	contagem	MG	2018-06-13	2018-06-13	1	1	69.99	69.99	0	2026-05-13 13:24:56.700
127	0a82f5fb06a4fe4ac2cf7cb412ec71b8	5524	sao paulo	SP	2018-02-03	2018-03-31	2	2	462.00	231.00	0	2026-05-13 13:24:56.700
128	0a85ebe4e328db81ac9109781205e2f7	13205	jundiai	SP	2018-05-11	2018-08-24	12	12	667.90	55.66	0	2026-05-13 13:24:56.700
129	0aa124728afc1131dff5655f4c6f487b	37135	alfenas	MG	2018-07-16	2018-08-13	2	2	850.92	425.46	0	2026-05-13 13:24:56.700
130	0aa2205ca24f113f4658a5c536667426	4281	sao paulo	SP	2018-04-18	2018-08-14	4	11	815.62	74.15	0	2026-05-13 13:24:56.700
131	0ac4201fda2c68ebc0e47cb9423cf3c9	3345	sao paulo	SP	2017-06-19	2018-06-17	13	14	1676.88	119.78	0	2026-05-13 13:24:56.700
132	0ad80de75c811326389cfb1daba7d45e	20261	rio de janeiro	RJ	2017-10-19	2018-01-05	6	6	1449.40	241.57	0	2026-05-13 13:24:56.700
133	0adac9fbd9a2b63cccaac4f8756c1ca8	13290	louveira	SP	2017-01-22	2018-08-16	110	142	15960.95	112.40	0	2026-05-13 13:24:56.700
134	0ade5cc4a305ed7093a23f68ca47519c	81030	curitiba	PR	2017-11-24	2018-01-21	2	2	158.88	79.44	0	2026-05-13 13:24:56.700
135	0aea4c6ae1505b3228ddf3dd7822ee5b	18080	sorocaba	SP	2017-10-09	2018-04-30	8	8	1427.91	178.49	0	2026-05-13 13:24:56.700
136	0af2ab31141893d26aca5a404a537dab	3431	sao paulo	SP	2018-08-23	2018-08-23	1	1	59.00	59.00	0	2026-05-13 13:24:56.700
137	0af977692321d895349eded183341d28	11070	santos	SP	2018-04-01	2018-08-20	2	2	257.75	128.88	0	2026-05-13 13:24:56.700
138	0afccdb8a34ee5c79f7c06faf2b4d56e	38400	uberlandia	MG	2017-04-05	2018-04-07	25	25	1225.50	49.02	0	2026-05-13 13:24:56.700
139	0b09101900100c0e9d312861fad5a1b9	3168	sao paulo	SP	NULL	NULL	1	1	153.75	153.75	0	2026-05-13 13:24:56.700
140	0b0ddbc7b9d9584f442c7ac92b0ff6c9	7052	guarulhos	SP	2018-03-30	2018-06-04	3	3	1416.76	472.25	0	2026-05-13 13:24:56.700
141	0b18d63d0cd1d723567903fd34a07df2	5141	sp	SP	2017-04-11	2018-06-12	9	14	1678.14	119.87	0	2026-05-13 13:24:56.700
142	0b1ca3ef18a63d7eb0c8897fa0849c08	18131	sao roque	SP	2018-04-12	2018-04-12	1	1	55.00	55.00	0	2026-05-13 13:24:56.700
143	0b35c634521043bf4b47e21547b99ab5	84530	teixeira soares	PR	2017-12-07	2018-08-12	51	78	13533.65	173.51	0	2026-05-13 13:24:56.700
144	0b36063d5818f81ccb94b54adfaebbf5	89255	jaragua do sul	SC	2017-01-30	2017-01-30	1	15	765.00	51.00	0	2026-05-13 13:24:56.700
145	0b3f27369a4d8df98f7eb91077e438ac	7412	aruja	SP	2017-11-13	2017-11-22	2	2	146.51	73.25	0	2026-05-13 13:24:56.700
146	0b46f784306be7200ca1700aa55d819f	31210	belo horizonte	MG	2017-03-19	2017-03-19	1	1	19.90	19.90	0	2026-05-13 13:24:56.700
147	0b64bcdb0784abc139af04077d49a20e	92420	canoas	RS	2018-04-06	2018-07-13	4	4	137.60	34.40	0	2026-05-13 13:24:56.700
148	0b90b6df587eb83608a64ea8b390cf07	87025	maringa	PR	2017-10-24	2018-08-16	164	210	28592.32	136.15	0	2026-05-13 13:24:56.700
149	0bae85eb84b9fb3bd773911e89288d54	88301	itajai	SP	2017-03-24	2018-08-21	137	146	7482.21	51.25	0	2026-05-13 13:24:56.700
150	0bb27263628258b8111a0262769fa9db	3077	sao paulo	SP	2017-04-01	2017-04-01	1	1	22.20	22.20	0	2026-05-13 13:24:56.700
151	0bb738e4d789e63e2267697c42d35a2d	18130	sao roque	SP	2017-02-01	2018-05-13	30	31	2388.30	77.04	0	2026-05-13 13:24:56.700
152	0be8ff43f22e456b4e0371b2245e4d01	4461	sao paulo	SP	2017-05-09	2018-08-29	161	180	11805.50	65.59	0	2026-05-13 13:24:56.700
153	0bebbb2cea103a4a020c95d43fd7d754	2515	sao paulo	SP	2018-06-30	2018-08-28	9	9	1367.20	151.91	0	2026-05-13 13:24:56.700
154	0bf0150d5b9d60d9cd2906003332f085	1547	sao paulo	SP	2017-02-16	2018-07-14	39	62	5774.60	93.14	0	2026-05-13 13:24:56.700
155	0bfd0b434243adc5c2e1aa6baf19c6aa	22745	rio de janeiro	RJ	2017-10-23	2018-02-03	6	6	371.20	61.87	0	2026-05-13 13:24:56.700
156	0c7533c71df861ec58ad7ff999ed0e8d	13270	valinhos	SP	2017-07-11	2018-07-28	61	73	2989.30	40.95	0	2026-05-13 13:24:56.700
157	0c7f30ae9b147eca07affbef92832a6a	84020	ponta grossa	PR	2017-03-03	2017-04-17	5	5	479.50	95.90	0	2026-05-13 13:24:56.700
158	0c8380b62e38e8a1e6adbeba7eb9688c	37410	tres coracoes	MG	2016-10-04	2018-08-21	182	220	17348.79	78.86	0	2026-05-13 13:24:56.700
159	0cab2da43793a6f3c5ed8514c5f54627	80060	curitiba	PR	2018-05-11	2018-06-15	3	3	309.70	103.23	0	2026-05-13 13:24:56.700
160	0cbcee27c791afa0cdcb08587a2013a8	37410	tres coracoes	MG	2016-10-09	2018-07-14	39	41	5324.15	129.86	0	2026-05-13 13:24:56.700
161	0d33a55da925bbf1ff02af5f6059fc7f	5632	sao paulo	SP	2017-11-09	2018-08-01	22	24	547.30	22.80	0	2026-05-13 13:24:56.700
162	0d4c8269e7f0401201794deef160edd6	14076	ribeirao preto	SP	2017-10-17	2017-11-07	3	4	792.64	198.16	0	2026-05-13 13:24:56.700
163	0d83f8e03188682112cc0d93523705cc	91150	porto alegre	RS	2017-11-14	2018-01-22	4	8	696.26	87.03	0	2026-05-13 13:24:56.700
164	0d85bbda9889ce1f7e63778d24f346eb	38414	uberlandia	MG	2017-03-22	2018-03-27	51	58	4845.20	83.54	0	2026-05-13 13:24:56.700
165	0daf5180aa44356f60f8effa533b55a2	74043	goiania	GO	2018-07-30	2018-08-20	2	2	144.80	72.40	0	2026-05-13 13:24:56.700
166	0db783cfcd3b73998abc6e10e59a102f	11010	santos	SP	2016-10-08	2018-04-07	132	137	9077.40	66.26	0	2026-05-13 13:24:56.700
167	0dd184061fb0eaa7ca37932c68ab91c5	7031	guarulhos	SP	2017-12-04	2018-08-16	161	193	18446.92	95.58	0	2026-05-13 13:24:56.700
168	0ddefe3c7a032b91f4e25b9c3a08fca1	9721	sao bernardo do campo	SP	2018-04-12	2018-08-24	9	10	402.90	40.29	0	2026-05-13 13:24:56.700
169	0df3984f9dfb3d49ac6366acbd3bbb85	32604	betim	MG	2017-03-12	2018-06-17	87	89	10021.49	112.60	0	2026-05-13 13:24:56.700
170	0dfbed20065e425d2eaefb101f9816c0	13660	porto ferreira	SP	2018-05-12	2018-06-04	3	3	84.35	28.12	0	2026-05-13 13:24:56.700
171	0e44d110fa6a54e121cb2c095a77762f	7901	francisco morato	SP	2017-08-04	2018-06-13	6	6	223.32	37.22	0	2026-05-13 13:24:56.700
172	0e72c1a751b496722a6cb1f10653b62a	6280	sao paulo	SP	2018-05-11	2018-07-30	3	3	140.80	46.93	0	2026-05-13 13:24:56.700
173	0e982cff76cc0579f632cea8a0e38c9d	88316	itajai	SC	2017-09-26	2018-04-03	7	12	1307.34	108.94	0	2026-05-13 13:24:56.700
