order_item_sk	order_id	order_item_id	order_sk	customer_sk	product_sk	seller_sk	purchase_date_sk	shipping_limit_date_sk	item_price	freight_value	total_item_value	is_freight_free	high_value_item_flag	dwh_create_date
62	002691433f09002ac9ca0c4e8dbb8ead	1	57	91635	8734	110	20170202	20170206	104.00	16.43	120.43	0	0	2026-05-13 13:55:12.650
63	0026a368634b6e6f34f33b1499773a30	1	58	17406	17659	217	20171027	20171110	149.00	15.80	164.80	0	0	2026-05-13 13:55:12.650
64	00275bce676303c3bfd7292aefdfa223	1	59	73272	12989	1875	20171124	20171204	279.90	13.46	293.36	0	0	2026-05-13 13:55:12.650
65	00276d5c3491fbf55305e26891040df9	1	60	64881	14729	1760	20180213	20180227	44.90	23.22	68.12	0	0	2026-05-13 13:55:12.650
66	0028de0ca693a1bb26448916a81105cc	1	61	92301	677	1825	20180815	20180821	29.99	15.31	45.30	0	0	2026-05-13 13:55:12.650
67	002955b0acc63d04f6724a31967e82bd	1	62	89300	28066	65	20171218	20171222	120.00	15.59	135.59	0	0	2026-05-13 13:55:12.650
68	0029c5db35ef291ce99d1262012e7daa	1	63	66374	15312	1772	20180825	20180903	492.75	21.62	514.37	0	0	2026-05-13 13:55:12.650
69	0029f17cf0e7640c5cb6825af681303f	1	64	48870	237	2565	20180502	20180508	94.90	18.54	113.44	0	0	2026-05-13 13:55:12.650
70	002af7fa9eb99d1456bceb6a13d6fc0b	1	65	75305	25051	1325	20180218	20180222	88.34	21.11	109.45	0	0	2026-05-13 13:55:12.650
71	002b430ff89b3a24c31a1170acbbedea	1	66	65970	26307	1506	20170620	20170626	199.99	65.56	265.55	0	0	2026-05-13 13:55:12.650
72	002b4e6fa42cd4a22cc86abc18fe9c05	1	67	13596	21385	2134	20180311	20180315	99.90	19.67	119.57	0	0	2026-05-13 13:55:12.650
73	002c9def9c9b951b1bec6d50753c9891	1	68	39995	5995	7	20180514	20180521	78.00	8.90	86.90	0	0	2026-05-13 13:55:12.650
74	002c9def9c9b951b1bec6d50753c9891	2	68	39995	5995	7	20180514	20180521	78.00	8.90	86.90	0	0	2026-05-13 13:55:12.650
75	002d040018d12a3853c059f7f23ab5b1	1	69	6842	19504	3065	20171119	20171127	155.00	14.84	169.84	0	0	2026-05-13 13:55:12.650
76	002f16b7bc4530031b7d90f791b12d8a	1	70	87251	27509	26	20180702	20180704	249.90	34.23	284.13	0	0	2026-05-13 13:55:12.650
77	002f19a65a2ddd70a090297872e6d64e	1	71	12040	20428	285	20180321	20180327	53.98	23.31	77.29	0	0	2026-05-13 13:55:12.650
78	002f98c0f7efd42638ed6100ca699b42	1	72	17304	27347	1413	20170804	20170810	8.99	32.57	41.56	0	0	2026-05-13 13:55:12.650
79	002f98c0f7efd42638ed6100ca699b42	2	72	17304	17533	3027	20170804	20170810	44.90	7.16	52.06	0	0	2026-05-13 13:55:12.650
80	0030d783f979fbc5981e75613b057344	1	73	9538	22321	1747	20171124	20171129	60.60	17.67	78.27	0	0	2026-05-13 13:55:12.650
81	0030ff924c38549807645976adeef2c0	1	74	81020	24339	1638	20180325	20180406	225.00	67.24	292.24	0	0	2026-05-13 13:55:12.650
82	00310b0c75bb13015ec4d82d341865a4	1	75	87615	25874	1977	20180815	20180817	39.90	15.38	55.28	0	0	2026-05-13 13:55:12.650
83	00324b3eda39ba5ecce3945823e3594c	1	76	7278	11035	167	20180410	20180417	76.00	34.07	110.07	0	0	2026-05-13 13:55:12.650
84	0032d07457ae9c806c79368d7d9ce96b	1	77	56571	1041	2734	20180310	20180315	159.00	27.19	186.19	0	0	2026-05-13 13:55:12.650
85	003324c70b19a16798817b2b3640e721	1	78	93231	5742	2657	20170518	20170524	102.90	14.45	117.35	0	0	2026-05-13 13:55:12.650
86	003324c70b19a16798817b2b3640e721	2	78	93231	5742	2657	20170518	20170524	102.90	14.45	117.35	0	0	2026-05-13 13:55:12.650
87	00335b686d693c7d72deeb12f8e89227	1	79	12905	17486	2898	20170717	20170728	63.90	16.89	80.79	0	0	2026-05-13 13:55:12.650
88	00335f75ea6a4455b524a8dd177067f5	1	80	61635	29079	1379	20180425	20180502	168.80	8.21	177.01	0	0	2026-05-13 13:55:12.650
89	00337fe25a3780b3424d9ad7c5a4b35e	1	81	22490	4187	2523	20170925	20170929	59.90	9.94	69.84	0	0	2026-05-13 13:55:12.650
90	00337fe25a3780b3424d9ad7c5a4b35e	2	81	22490	2572	2523	20170925	20170929	59.90	9.94	69.84	0	0	2026-05-13 13:55:12.650
91	003423b755b562962a6225a8de40d12e	1	82	46891	17117	421	20180708	20180718	232.75	28.58	261.33	0	0	2026-05-13 13:55:12.650
92	00345f338696283410b7977d2e3efc89	1	83	54588	1994	978	20180820	20180823	48.90	18.44	67.34	0	0	2026-05-13 13:55:12.650
93	0035246a40f520710769010f752e7507	1	84	79140	17783	882	20170817	20170823	87.00	12.11	99.11	0	0	2026-05-13 13:55:12.650
94	0035c0b07126fe9c24a325216fb96064	1	85	54545	30384	1627	20171124	20171212	131.90	18.54	150.44	0	0	2026-05-13 13:55:12.650
95	0035e6b7ade84b3f5b86bd49814793df	1	86	94011	14708	1020	20180221	20180227	19.90	14.10	34.00	0	0	2026-05-13 13:55:12.650
96	0036757472ece3dde52fd4bfd929c90e	1	87	70378	9882	1536	20180719	20180808	136.99	66.04	203.03	0	0	2026-05-13 13:55:12.650
97	0036887767dea4bd43b1a88cd0d9477a	1	88	40443	7566	844	20171013	20171019	399.99	23.64	423.63	0	0	2026-05-13 13:55:12.650
98	00378c6c981f234634c0b9d6128df6dd	1	89	76001	7413	402	20180202	20180208	41.00	11.85	52.85	0	0	2026-05-13 13:55:12.650
99	003822434f91204da0a51fe4cf2aba18	1	90	13785	19796	2388	20180613	20180621	69.00	18.58	87.58	0	0	2026-05-13 13:55:12.650
100	003822434f91204da0a51fe4cf2aba18	2	90	13785	19796	2388	20180613	20180621	69.00	18.58	87.58	0	0	2026-05-13 13:55:12.650
101	0039500db36d50d7d0bfaf23723550f3	1	91	44293	12748	2366	20180706	20180710	169.90	33.33	203.23	0	0	2026-05-13 13:55:12.650
102	003a7f59d7e08a9c61d9e2881fe6459c	1	92	20482	21140	2164	20180819	20180822	119.00	15.28	134.28	0	0	2026-05-13 13:55:12.650
103	003a94f778ef8cfd50247c8c1b582257	1	93	94731	9010	3000	20180803	20180807	39.90	18.08	57.98	0	0	2026-05-13 13:55:12.650
104	003cc6161d7a2593f2525cce0c330d32	1	94	4582	32286	1025	20180803	20180807	85.00	12.90	97.90	0	0	2026-05-13 13:55:12.650
105	003d0634280ff3d1d3a54459349a6899	1	95	17819	28301	1748	20180317	20180322	220.00	8.89	228.89	0	0	2026-05-13 13:55:12.650
106	003d804eef0e1b856881cd18e0cc0d4c	1	96	23625	8491	858	20171117	20171127	277.00	35.74	312.74	0	0	2026-05-13 13:55:12.650
107	003d9fc84ad902adf2265248b5ffe1a4	1	97	89755	8302	82	20180819	20180822	66.99	27.75	94.74	0	0	2026-05-13 13:55:12.650
108	003edccf16bc5ec447f592913b3df2b4	1	98	34403	10400	2891	20180707	20180712	14.00	50.85	64.85	0	0	2026-05-13 13:55:12.650
109	003f201cdd39cdd59b6447cff2195456	1	99	44085	13102	148	20180221	20180305	85.00	17.03	102.03	0	0	2026-05-13 13:55:12.650
110	003f201cdd39cdd59b6447cff2195456	2	99	44085	13102	148	20180221	20180305	85.00	17.03	102.03	0	0	2026-05-13 13:55:12.650
111	003f9bcc09427647c4b9d361a523545b	1	100	10648	9845	1561	20180206	20180212	229.00	9.80	238.80	0	0	2026-05-13 13:55:12.650
112	00404fa7a687c8c44ca69d42695aae73	1	101	3529	10868	1541	20180507	20180515	99.90	0.00	99.90	1	0	2026-05-13 13:55:12.650
113	0040a56893444cb56cba7cfe2225e34e	1	102	51038	8228	2959	20180122	20180129	84.90	34.39	119.29	0	0	2026-05-13 13:55:12.650
114	004157daafa0bc8672e01f00e4f0c04f	1	103	85853	17916	1203	20170521	20170525	189.00	33.91	222.91	0	0	2026-05-13 13:55:12.650
115	00418a49a685c6bb60633291c3fab17a	1	104	22089	12197	1236	20171003	20171009	49.00	7.78	56.78	0	0	2026-05-13 13:55:12.650
116	0044c6f6d22dd280534344177c81b989	1	105	66238	245	85	20180518	20180523	179.93	16.14	196.07	0	0	2026-05-13 13:55:12.650
117	0045e3085f083f0f38d24bb3f22e6593	1	106	35172	19159	805	20170810	20170817	116.90	13.84	130.74	0	0	2026-05-13 13:55:12.650
118	0045f5225a96ef46630701167528fdcb	1	107	984	17356	735	20180610	20180619	94.90	15.51	110.41	0	0	2026-05-13 13:55:12.650
119	0046176ff0dbc2a178b7885355dfbb71	1	108	32924	3427	819	20180529	20180606	121.99	15.73	137.72	0	0	2026-05-13 13:55:12.650
120	0046e1d57f4c07c8c92ab26be8c3dfc0	1	109	65566	32854	665	20170926	20171002	7.79	7.78	15.57	0	0	2026-05-13 13:55:12.650
121	00471463a6106056c1a2a809f70de640	1	110	11340	20326	1536	20170921	20171003	179.99	85.97	265.96	0	0	2026-05-13 13:55:12.650
122	00482f2670787292280e0a8153d82467	1	111	78906	21742	1371	20170213	20170217	7.60	10.96	18.56	0	0	2026-05-13 13:55:12.650
123	0049edf42837aa808e03552a62bd2158	1	112	73234	7365	369	20171230	20180105	49.90	17.60	67.50	0	0	2026-05-13 13:55:12.650
124	004b62108b876867938746ad3154167f	1	113	27421	25407	2405	20180704	20180710	110.32	8.03	118.35	0	0	2026-05-13 13:55:12.650
125	004ba47bb589cdbc485e6025bd6d3c81	1	114	51626	18044	166	20171225	20171229	49.00	11.85	60.85	0	0	2026-05-13 13:55:12.650
126	004ca5ae248069d68e8594df8abf6ce0	1	115	45553	26463	1199	20180606	20180614	159.90	61.18	221.08	0	0	2026-05-13 13:55:12.650
127	004d76fef3dd46eb4f70da049c8d1f93	1	116	68686	5361	732	20171220	20171227	120.00	27.39	147.39	0	0	2026-05-13 13:55:12.650
128	004eab0fd8f28adaf8d488976f77febe	1	117	34001	1611	1447	20170802	20170808	21.50	11.98	33.48	0	0	2026-05-13 13:55:12.650
129	004f5d8f238e8908e6864b874eda3391	1	118	8772	11747	2424	20180227	20180306	122.99	15.61	138.60	0	0	2026-05-13 13:55:12.650
130	004fb11815bc03b01b20a614eef69d14	1	119	63314	13561	1506	20171125	20171130	72.99	19.75	92.74	0	0	2026-05-13 13:55:12.650
131	004fb5e6f90a178dc74ad2b016649249	1	120	18277	12445	1506	20170611	20170615	129.99	13.93	143.92	0	0	2026-05-13 13:55:12.650
132	005059edee63c8c708ba61910793b31b	1	121	76079	17176	882	20180205	20180212	92.00	17.89	109.89	0	0	2026-05-13 13:55:12.650
133	005059edee63c8c708ba61910793b31b	2	121	76079	17176	882	20180205	20180212	92.00	17.89	109.89	0	0	2026-05-13 13:55:12.650
134	00526a9d4ebde463baee25f386963ddc	1	122	46847	1583	1404	20180807	20180814	33.89	8.40	42.29	0	0	2026-05-13 13:55:12.650
135	00526a9d4ebde463baee25f386963ddc	2	122	46847	1583	1404	20180807	20180814	33.89	8.40	42.29	0	0	2026-05-13 13:55:12.650
136	00526a9d4ebde463baee25f386963ddc	3	122	46847	1583	1404	20180807	20180814	33.89	8.40	42.29	0	0	2026-05-13 13:55:12.650
137	00526a9d4ebde463baee25f386963ddc	4	122	46847	1583	1404	20180807	20180814	33.89	8.40	42.29	0	0	2026-05-13 13:55:12.650
138	0055b77cca3186676c147f532dd2547b	1	123	87493	27040	1955	20180219	20180225	149.00	40.37	189.37	0	0	2026-05-13 13:55:12.650
139	0057199db02d1a5ef41bacbf41f8f63b	1	124	57138	8582	2767	20180118	20180125	20.30	16.79	37.09	0	0	2026-05-13 13:55:12.650
140	00571ded73b3c061925584feab0db425	1	125	6122	17349	3065	20170518	20170525	179.90	15.01	194.91	0	0	2026-05-13 13:55:12.650
141	00571ded73b3c061925584feab0db425	2	125	6122	17349	3065	20170518	20170525	179.90	15.01	194.91	0	0	2026-05-13 13:55:12.650
142	00584d79015452d19fd3d044ba3abdc0	1	126	84740	28067	1402	20170723	20170727	109.90	12.27	122.17	0	0	2026-05-13 13:55:12.650
143	00588f5f20fee630b83d4709e0a42715	1	127	4369	24331	948	20170818	20170829	89.00	25.90	114.90	0	0	2026-05-13 13:55:12.650
144	005997dca4c1fc45066d0a03d54a6469	1	128	1564	5447	1825	20180410	20180416	120.00	13.75	133.75	0	0	2026-05-13 13:55:12.650
145	005a1dded353107dbabf8ffc83a20365	1	129	86976	16372	1236	20180209	20180215	75.00	14.28	89.28	0	0	2026-05-13 13:55:12.650
146	005b49de51a4e006055e8487a50ad8e4	1	130	50178	7285	1719	20170409	20170413	46.86	14.52	61.38	0	0	2026-05-13 13:55:12.650
147	005cad6157eadc7f1f09917607f1704a	1	131	23369	16391	1366	20170415	20170420	96.00	14.84	110.84	0	0	2026-05-13 13:55:12.650
148	005d9a5423d47281ac463a968b3936fb	1	132	36404	32369	2627	20171018	20171024	49.99	18.12	68.11	0	0	2026-05-13 13:55:12.650
149	005d9a5423d47281ac463a968b3936fb	2	132	36404	9904	2627	20171018	20171024	24.99	13.58	38.57	0	0	2026-05-13 13:55:12.650
150	005d9a5423d47281ac463a968b3936fb	3	132	36404	9904	2627	20171018	20171024	24.99	13.58	38.57	0	0	2026-05-13 13:55:12.650
151	005e5166e99d1e4d0c4f808b0540ba94	1	133	46751	448	2823	20180221	20180301	120.10	16.60	136.70	0	0	2026-05-13 13:55:12.650
152	005f25968fc854ea16fb16f5bdbc87c7	1	134	78030	32064	735	20180304	20180308	69.90	16.25	86.15	0	0	2026-05-13 13:55:12.650
153	00602f25bffa1dcfb71e202fbf9824fb	1	135	61040	6586	1654	20171101	20171108	39.90	54.02	93.92	0	0	2026-05-13 13:55:12.650
154	00611822267e76e0055c25c18506f06e	1	136	71485	7992	423	20180726	20180803	159.90	20.31	180.21	0	0	2026-05-13 13:55:12.650
155	006127b8b9a1681a982313ed7129c3c0	1	137	55853	31934	1541	20180308	20180315	540.00	16.22	556.22	0	1	2026-05-13 13:55:12.650
156	0064d74f7de7917d54768d7722ad56ac	1	138	91670	32183	553	20170910	20170914	189.90	31.17	221.07	0	0	2026-05-13 13:55:12.650
157	006557c3221c1fcd02b0106343ab357b	1	139	52821	16208	2618	20180223	20180301	14.90	8.27	23.17	0	0	2026-05-13 13:55:12.650
158	00664284de7a3470d22931ed78615ee4	1	140	51270	4303	322	20170924	20170928	43.90	11.85	55.75	0	0	2026-05-13 13:55:12.650
159	0066a1fdaee16ad5022c5ef979d0b661	1	141	3279	6219	350	20180610	20180614	139.00	87.28	226.28	0	0	2026-05-13 13:55:12.650
160	0067c6030d65af0ff98790158ddb0020	1	142	51151	367	1223	20180427	20180503	40.35	13.71	54.06	0	0	2026-05-13 13:55:12.650
161	0068468c453d28c8ef3fd089e50a5847	1	143	1919	6197	1605	20171124	20171130	469.00	20.85	489.85	0	0	2026-05-13 13:55:12.650
162	00685d31ae12e47470ba5c18ba74f22c	1	144	89247	14727	1364	20170827	20170831	59.00	16.17	75.17	0	0	2026-05-13 13:55:12.650
163	0068c109948b9a1dfb8530d1978acef3	1	145	78333	10695	1709	20180122	20180130	35.90	15.79	51.69	0	0	2026-05-13 13:55:12.650
164	0068c109948b9a1dfb8530d1978acef3	2	145	78333	10695	1709	20180122	20180130	35.90	15.79	51.69	0	0	2026-05-13 13:55:12.650
165	0068e836900867da359bd81db9227a33	1	146	91604	14951	1121	20170929	20171005	96.99	16.44	113.43	0	0	2026-05-13 13:55:12.650
166	0068fb0e223115e911d362627e8b8800	1	147	3784	29514	1670	20180718	20180731	77.90	13.89	91.79	0	0	2026-05-13 13:55:12.650
167	006c42f310102c1910b3c5793ce5fc34	1	148	93478	22864	2113	20180806	20180808	229.99	20.80	250.79	0	0	2026-05-13 13:55:12.650
168	006cb7cafc99b29548d4f412c7f9f493	1	149	79330	28993	589	20180217	20180222	56.00	14.14	70.14	0	0	2026-05-13 13:55:12.650
169	006cba07f62f921fe4f58365bde2b2eb	1	150	81122	17031	1636	20170814	20170820	69.99	11.99	81.98	0	0	2026-05-13 13:55:12.650
170	006dd93155bc2abd844cc5eed3a0fe7f	1	151	93614	4076	2458	20171202	20171207	49.90	7.78	57.68	0	0	2026-05-13 13:55:12.650
171	006df90050498994d670b40da4651d22	1	152	31806	17255	2511	20180813	20180816	14.00	7.39	21.39	0	0	2026-05-13 13:55:12.650
172	006e05e81c068ddc38e48ebe189b922e	1	153	24473	296	1236	20171227	20180103	29.00	14.10	43.10	0	0	2026-05-13 13:55:12.650
173	006e43460a55bc60c0a437521e426529	1	154	11198	1065	2	20170511	20170517	99.00	43.06	142.06	0	0	2026-05-13 13:55:12.650
174	006e91ddb0674525f84ce0da0655c7ba	1	155	24614	17102	433	20180410	20180416	499.00	30.35	529.35	0	0	2026-05-13 13:55:12.650
175	006f7dfffe2d90809598e8f1972b829b	1	156	19570	21876	1414	20180322	20180328	39.85	12.79	52.64	0	0	2026-05-13 13:55:12.650
176	0070092bb6004faafa287e5fc35971e9	1	157	5537	6456	906	20170725	20170731	149.00	14.06	163.06	0	0	2026-05-13 13:55:12.650
177	0071ee2429bc1efdc43aa3e073a5290e	1	158	78758	118	1025	20180122	20180126	179.98	12.46	192.44	0	0	2026-05-13 13:55:12.650
178	0072847849eafe70995fa51a714c81ac	1	159	69436	2034	2688	20180514	20180518	219.99	14.90	234.89	0	0	2026-05-13 13:55:12.650
179	00750f68bb64537034e93554c64b41b5	1	160	79831	10702	1236	20171112	20171117	129.00	8.16	137.16	0	0	2026-05-13 13:55:12.650
180	00756576f4e494406945ac21cb82cfe0	1	161	28873	24641	1215	20180130	20180206	137.00	15.71	152.71	0	0	2026-05-13 13:55:12.650
181	00772b2af35643653f108fdac1155ee3	1	162	50695	17242	2361	20170424	20170502	37.00	10.96	47.96	0	0	2026-05-13 13:55:12.650
182	00789ce015e7e5791c7914f32bb4fad4	1	163	14125	32157	465	20170628	20170704	154.00	14.83	168.83	0	0	2026-05-13 13:55:12.650
183	0078a358a14592b887eb140ef515f5ab	1	164	61882	14779	2486	20171106	20171110	253.52	82.86	336.38	0	0	2026-05-13 13:55:12.650
184	0079bca8e89bd52fdb87408e4f3fb94d	1	165	57676	3336	909	20180503	20180510	49.90	7.39	57.29	0	0	2026-05-13 13:55:12.650
