order_sk	order_id	customer_sk	purchase_date_sk	order_status	total_items	total_item_amount	total_freight_amount	total_payment_amount	avg_review_score	is_delivered	delivery_days	estimated_delivery_days	is_delayed	delivery_delay_days	approval_days
97	003d9fc84ad902adf2265248b5ffe1a4	89755	20180819	delivered	1	66.99	27.75	94.74	4	1	8	17	0	-9	1432
98	003edccf16bc5ec447f592913b3df2b4	34403	20180707	delivered	1	14.00	50.85	64.85	5	1	26	27	0	-1	73
99	003f201cdd39cdd59b6447cff2195456	44085	20180221	delivered	2	170.00	34.06	204.06	1	1	35	29	1	6	11
100	003f9bcc09427647c4b9d361a523545b	10648	20180206	delivered	1	229.00	9.80	238.80	5	1	2	16	0	-14	9
101	00404fa7a687c8c44ca69d42695aae73	3529	20180507	delivered	1	99.90	0.00	99.90	5	1	11	17	0	-6	1793
102	0040a56893444cb56cba7cfe2225e34e	51038	20180122	delivered	1	84.90	34.39	119.29	2	1	23	30	0	-7	25
103	004157daafa0bc8672e01f00e4f0c04f	85853	20170521	delivered	1	189.00	33.91	222.91	5	1	12	36	0	-24	12
104	00418a49a685c6bb60633291c3fab17a	22089	20171003	delivered	1	49.00	7.78	56.78	1	1	2	16	0	-14	7
105	0044c6f6d22dd280534344177c81b989	66238	20180518	delivered	1	179.93	16.14	196.07	4	1	17	25	0	-8	16
106	0045e3085f083f0f38d24bb3f22e6593	35172	20170810	delivered	1	116.90	13.84	130.74	5	1	19	20	0	-1	902
107	0045f5225a96ef46630701167528fdcb	984	20180610	delivered	1	94.90	15.51	110.41	5	1	8	24	0	-16	2454
108	0046176ff0dbc2a178b7885355dfbb71	32924	20180529	delivered	1	121.99	15.73	137.72	5	1	6	31	0	-25	13
109	0046e1d57f4c07c8c92ab26be8c3dfc0	65566	20170926	delivered	1	7.79	7.78	15.57	5	1	3	15	0	-12	25
110	00471463a6106056c1a2a809f70de640	11340	20170921	delivered	1	179.99	85.97	265.96	5	1	21	29	0	-8	46
111	00482f2670787292280e0a8153d82467	78906	20170213	delivered	1	7.60	10.96	18.56	5	1	2	25	0	-23	684
112	0049edf42837aa808e03552a62bd2158	73234	20171230	delivered	1	49.90	17.60	67.50	1	1	31	33	0	-2	15
113	004b62108b876867938746ad3154167f	27421	20180704	delivered	1	110.32	8.03	118.35	5	1	9	15	0	-6	1206
114	004ba47bb589cdbc485e6025bd6d3c81	51626	20171225	delivered	1	49.00	11.85	60.85	5	1	4	25	0	-21	8
115	004ca5ae248069d68e8594df8abf6ce0	45553	20180606	delivered	1	159.90	61.18	221.08	5	1	9	50	0	-41	22
116	004d76fef3dd46eb4f70da049c8d1f93	68686	20171220	delivered	1	120.00	27.39	147.39	5	1	6	26	0	-20	268
117	004eab0fd8f28adaf8d488976f77febe	34001	20170802	delivered	1	21.50	11.98	33.48	5	1	1	13	0	-12	13
118	004f5d8f238e8908e6864b874eda3391	8772	20180227	delivered	1	122.99	15.61	138.60	3	1	24	22	1	2	1273
119	004fb11815bc03b01b20a614eef69d14	63314	20171125	delivered	1	72.99	19.75	92.74	5	1	21	31	0	-10	20
120	004fb5e6f90a178dc74ad2b016649249	18277	20170611	delivered	1	129.99	13.93	143.92	5	1	5	22	0	-17	16
121	005059edee63c8c708ba61910793b31b	76079	20180205	delivered	2	184.00	35.78	219.78	3	1	14	29	0	-15	1445
122	00526a9d4ebde463baee25f386963ddc	46847	20180807	delivered	4	135.56	33.60	169.16	1	1	9	8	1	1	12
123	0055b77cca3186676c147f532dd2547b	87493	20180219	delivered	1	149.00	40.37	189.37	5	1	16	23	0	-7	60
124	0057199db02d1a5ef41bacbf41f8f63b	57138	20180118	delivered	1	20.30	16.79	37.09	4	1	19	33	0	-14	2402
125	00571ded73b3c061925584feab0db425	6122	20170518	delivered	2	359.80	30.02	389.82	5	1	12	25	0	-13	11
126	00584d79015452d19fd3d044ba3abdc0	84740	20170723	delivered	1	109.90	12.27	122.17	5	1	3	19	0	-16	16
127	00588f5f20fee630b83d4709e0a42715	4369	20170818	delivered	1	89.00	25.90	114.90	1	1	12	42	0	-30	1442
128	005997dca4c1fc45066d0a03d54a6469	1564	20180410	delivered	1	120.00	13.75	133.75	5	1	3	16	0	-13	14
129	005a1dded353107dbabf8ffc83a20365	86976	20180209	delivered	1	75.00	14.28	89.28	5	1	21	26	0	-5	10
130	005b49de51a4e006055e8487a50ad8e4	50178	20170409	delivered	1	46.86	14.52	61.38	5	1	18	25	0	-7	15
131	005cad6157eadc7f1f09917607f1704a	23369	20170415	delivered	1	96.00	14.84	110.84	5	1	18	25	0	-7	1450
132	005d9a5423d47281ac463a968b3936fb	36404	20171018	delivered	3	99.97	45.28	145.26	1	1	9	30	0	-21	14
133	005e5166e99d1e4d0c4f808b0540ba94	46751	20180221	delivered	1	120.10	16.60	136.70	3	1	34	22	1	12	2312
134	005f25968fc854ea16fb16f5bdbc87c7	78030	20180304	delivered	1	69.90	16.25	86.15	5	1	16	19	0	-3	40
135	00602f25bffa1dcfb71e202fbf9824fb	61040	20171101	delivered	1	39.90	54.02	93.92	5	1	26	40	0	-14	530
136	00611822267e76e0055c25c18506f06e	71485	20180726	delivered	1	159.90	20.31	180.21	4	1	5	25	0	-20	15
137	006127b8b9a1681a982313ed7129c3c0	55853	20180308	delivered	1	540.00	16.22	556.22	5	1	12	18	0	-6	630
138	0064d74f7de7917d54768d7722ad56ac	91670	20170910	delivered	1	189.90	31.17	221.07	5	1	4	18	0	-14	10
139	006557c3221c1fcd02b0106343ab357b	52821	20180223	delivered	1	14.90	8.27	23.17	5	1	7	28	0	-21	15
140	00664284de7a3470d22931ed78615ee4	51270	20170924	delivered	1	43.90	11.85	55.75	4	1	9	23	0	-14	18
141	0066a1fdaee16ad5022c5ef979d0b661	3279	20180610	delivered	1	139.00	87.28	226.28	5	1	6	36	0	-30	25
142	0067c6030d65af0ff98790158ddb0020	51151	20180427	delivered	1	40.35	13.71	54.06	5	1	10	19	0	-9	16
143	0068468c453d28c8ef3fd089e50a5847	1919	20171124	delivered	1	469.00	20.85	489.85	5	1	20	26	0	-6	186
144	00685d31ae12e47470ba5c18ba74f22c	89247	20170827	delivered	1	59.00	16.17	75.17	1	1	38	30	1	8	14
145	0068c109948b9a1dfb8530d1978acef3	78333	20180122	delivered	2	71.80	31.58	103.38	1	1	17	29	0	-12	1867
146	0068e836900867da359bd81db9227a33	91604	20170929	delivered	1	96.99	16.44	113.43	5	1	6	25	0	-19	900
147	0068fb0e223115e911d362627e8b8800	3784	20180718	delivered	1	77.90	13.89	91.79	5	1	7	28	0	-21	964
148	006c42f310102c1910b3c5793ce5fc34	93478	20180806	delivered	1	229.99	20.80	250.79	5	1	9	14	0	-5	12
149	006cb7cafc99b29548d4f412c7f9f493	79330	20180217	delivered	1	56.00	14.14	70.14	5	1	8	24	0	-16	13
150	006cba07f62f921fe4f58365bde2b2eb	81122	20170814	delivered	1	69.99	11.99	81.98	5	1	4	28	0	-24	37
151	006dd93155bc2abd844cc5eed3a0fe7f	93614	20171202	delivered	1	49.90	7.78	57.68	5	1	5	32	0	-27	9
152	006df90050498994d670b40da4651d22	31806	20180813	delivered	1	14.00	7.39	21.39	5	1	2	4	0	-2	16
153	006e05e81c068ddc38e48ebe189b922e	24473	20171227	delivered	1	29.00	14.10	43.10	4	1	7	28	0	-21	17
154	006e43460a55bc60c0a437521e426529	11198	20170511	delivered	1	99.00	43.06	142.06	5	1	8	22	0	-14	66
155	006e91ddb0674525f84ce0da0655c7ba	24614	20180410	delivered	1	499.00	30.35	529.35	4	1	6	16	0	-10	14
156	006f7dfffe2d90809598e8f1972b829b	19570	20180322	delivered	1	39.85	12.79	52.64	2	1	14	20	0	-6	15
157	0070092bb6004faafa287e5fc35971e9	5537	20170725	delivered	1	149.00	14.06	163.06	5	1	2	20	0	-18	13
158	0071ee2429bc1efdc43aa3e073a5290e	78758	20180122	delivered	1	179.98	12.46	192.44	4	1	9	24	0	-15	189
159	0072847849eafe70995fa51a714c81ac	69436	20180514	delivered	1	219.99	14.90	234.89	4	1	8	15	0	-7	908
160	00750f68bb64537034e93554c64b41b5	79831	20171112	delivered	1	129.00	8.16	137.16	5	1	2	15	0	-13	20
161	00756576f4e494406945ac21cb82cfe0	28873	20180130	delivered	1	137.00	15.71	152.71	5	1	10	24	0	-14	1163
162	00772b2af35643653f108fdac1155ee3	50695	20170424	delivered	1	37.00	10.96	47.96	4	1	12	18	0	-6	12
163	00789ce015e7e5791c7914f32bb4fad4	14125	20170628	delivered	1	154.00	14.83	190.81	5	1	19	22	0	-3	12
164	0078a358a14592b887eb140ef515f5ab	61882	20171106	delivered	1	253.52	82.86	336.38	5	1	15	23	0	-8	414
165	0079bca8e89bd52fdb87408e4f3fb94d	57676	20180503	delivered	1	49.90	7.39	57.29	5	1	5	15	0	-10	1958
166	007bbb40c95870c0f75a7855f2636c65	81845	20180424	delivered	1	148.90	13.95	162.85	5	1	2	13	0	-11	476
167	007beb35f98c075747e6fc4fd1c0cb73	31008	20170923	delivered	1	64.90	18.69	83.59	4	1	11	27	0	-16	18
168	007c7cb12ef3567531307ca78d395758	92472	20180220	delivered	1	179.00	16.00	195.00	2	1	20	24	0	-4	16
169	007ec946d4f798caf2b43c9d44c56421	14086	20171124	delivered	1	27.90	15.10	43.00	5	1	12	32	0	-20	910
170	007ff0b0f79be782f633fc3b18cbe337	75444	20180203	delivered	1	39.00	16.11	55.11	5	1	11	27	0	-16	144
171	0080eebb288dba1857ccf048dfe6bdfe	6031	20170811	delivered	1	7.00	14.10	21.10	3	1	7	26	0	-19	1442
172	0081ab2c99dc85945c28926b77dc6960	66743	20180214	delivered	1	269.00	10.70	279.70	2	1	5	15	0	-10	2410
173	0081ce648af7d6a7bac2a93b6035d1e3	48806	20171108	delivered	1	99.90	17.95	117.85	5	1	14	23	0	-9	953
174	0084209c576daad6ff4534902fcb4892	90255	20170705	delivered	1	69.90	15.24	85.14	3	1	13	22	0	-9	267
175	0084e195fbd72ae51599af47f04afede	24752	20180314	delivered	1	89.90	23.13	113.03	1	1	51	27	1	24	13
176	00858d03144cc35cfd1dd043647e7c88	51022	20180314	delivered	1	165.00	19.03	184.03	4	1	8	42	0	-34	16
177	008720830a8a30e39e6f22f81818a141	36836	20170813	delivered	1	57.99	11.73	69.72	5	1	5	12	0	-7	11
178	0087889a1c836be17f58afd7f1729a4a	60315	20171023	delivered	1	259.00	10.63	269.63	5	1	1	11	0	-10	32
179	008819c6d5f6da6fa5cd9d50ca927cf4	90085	20180804	delivered	1	55.00	7.65	62.65	3	1	3	5	0	-2	10
180	00891ba5de66f55000ee358ceea9b345	77334	20170514	delivered	1	133.00	16.69	149.69	5	1	9	24	0	-15	16
181	008990da719764fb392914d8ab53ad04	78287	20180511	delivered	1	35.90	18.23	54.13	5	1	25	39	0	-14	17
182	008a1b3db2a8bf63418c2cf7c7f494b1	86899	20180402	delivered	1	14.89	18.23	33.12	1	1	31	21	1	10	15
183	008a40c2b8b21893e04945ce58854b55	34378	20180429	delivered	1	99.00	13.00	112.00	1	1	9	29	0	-20	28
184	008c3a655c66f4d92370d0d422732f69	16056	20180304	delivered	1	90.00	9.44	99.44	4	1	5	11	0	-6	1733
185	008ce8764db2e397e153000e017475b6	375	20180518	delivered	1	43.49	27.39	70.88	5	1	5	10	0	-5	15
186	008cfe221ab054c89bc31720098cca51	21983	20180808	delivered	1	109.99	36.85	146.84	3	1	6	12	0	-6	13
187	008d9bf350ff02ed444b3452cf3f57e0	1907	20180604	delivered	2	19.98	30.46	50.44	5	1	9	37	0	-28	14
188	008dc31c0ae7121f2791953ae5f532c3	24725	20180106	delivered	1	28.50	34.15	62.65	5	1	23	30	0	-7	11
189	008dd5e80ebf8f849aa0c5bf4e22ce7a	24209	20180320	delivered	1	199.00	8.74	207.74	1	1	3	13	0	-10	1825
190	008eaf9004164883520d0bd32b107261	68124	20170710	delivered	1	135.90	21.44	157.34	5	1	11	29	0	-18	1768
191	008f831b7185cff7ab35a46c37d64cd2	9249	20180630	delivered	1	249.00	37.09	286.09	5	1	7	25	0	-18	11
192	008fab5602c441d51f30b1464f5d4643	46769	20170222	delivered	1	49.99	15.56	65.55	5	1	9	29	0	-20	13
193	0091a677651feaf5a08d7bb147681e14	23937	20180824	delivered	1	38.00	7.53	45.53	4	1	4	7	0	-3	17
194	00921e4911895b93c7b4fc0d80c0815e	70447	20180613	delivered	1	85.00	11.62	96.62	5	1	7	12	0	-5	22
195	0093cbf16a6afb7f0ab7cc821b6f9e92	50927	20171111	delivered	1	117.30	25.66	142.96	5	1	14	27	0	-13	21
196	00946f674d880be1f188abc10ad7cf46	11007	20171209	delivered	2	199.80	32.92	232.72	4	1	8	27	0	-19	19
197	00949655cdd8d0465e433a5e6c9643e5	12294	20180625	delivered	1	18.00	7.87	25.87	5	1	3	10	0	-7	2116
198	0094bd07f49fed90209ffa62d1ef26d6	38284	20180501	delivered	1	11.53	7.39	18.92	1	1	15	13	1	2	3008
199	0094d4660e323945f84f5c29eb348aae	32454	20180124	delivered	1	269.99	39.41	309.40	5	1	12	30	0	-18	9
200	0094dc9ea7e3cd54d95aea42685673ff	61771	20170307	delivered	1	89.99	14.80	104.79	4	1	7	23	0	-16	7
201	0095790a64527ec83aeaaf99023c050e	20051	20171115	delivered	1	19.90	42.76	62.66	5	1	22	26	0	-4	14
202	0096668e5b0b8e9657a6f7209a4e58b4	48780	20180711	delivered	1	166.90	13.47	180.37	4	1	68	8	1	60	13
203	009742b43f4530bc3db7f62332c50f4b	69906	20171024	delivered	1	133.74	12.44	146.18	2	1	43	17	1	26	2154
204	00975e709cd12c34d3bd44e4a7f7a876	87340	20170821	delivered	1	86.80	7.86	94.66	5	1	2	16	0	-14	11
205	0097aafe2a01dd54e39888976160c377	13025	20180823	delivered	1	62.00	8.59	70.59	4	1	5	6	0	-1	2154
206	0097f0545a302aafa32782f1734ff71c	81909	20180305	delivered	2	466.00	41.84	507.84	1	1	16	16	1	0	15
207	009838529bb913846ab6670d22865381	2273	20180614	delivered	1	129.00	47.40	176.40	3	1	12	33	0	-21	29
208	0098dbda25722a3f019fe252a0cd10b3	51917	20170919	delivered	1	143.54	21.49	165.03	4	1	13	22	0	-9	1960
209	009905140e9f8cc35d5be897937381db	31834	20180315	delivered	2	79.98	36.46	116.44	5	1	13	27	0	-14	16
210	00995d799817ecc3bd2abd8fbe59c430	90723	20180726	delivered	1	49.90	12.92	62.82	1	1	7	13	0	-6	20
211	00998f38df3012359ef195ca75ebb329	24011	20180511	delivered	1	119.90	23.34	143.24	4	1	7	28	0	-21	25
212	009ac365164f8e06f59d18a08045f6c4	11343	20171123	delivered	1	16.90	15.10	32.00	5	1	6	20	0	-14	8
213	009c278fa2ed6e7ec498200b60193ca8	68922	20180111	delivered	1	29.99	15.10	45.09	5	1	20	29	0	-9	12
214	009e11afa25aa95ae78e60a793995c9b	66590	20171019	delivered	1	30.99	34.15	65.14	5	1	12	50	0	-38	19
215	009fa9bd0d92710e840793bfefa80867	435	20170614	delivered	1	84.99	15.34	100.33	4	1	24	27	0	-3	3966
216	00a0116ff15ff973ea16bee881208ae7	74016	20180218	delivered	1	149.00	45.12	194.12	5	1	13	25	0	-12	65
217	00a12754417a49a9dec20361849aa917	69144	20180508	delivered	1	48.90	8.82	57.72	4	1	2	8	0	-6	17
218	00a13ab02fbe82f78cd84f14e41564ed	40957	20171209	delivered	1	159.49	8.86	168.35	5	1	5	19	0	-14	10
