seller_sk	total_orders	total_items_sold	total_revenue	avg_order_value	avg_item_price	avg_review_score	avg_delivery_days	delay_rate	repeat_customer_rate	seller_segment	dwh_create_date
2107	1	1	59.81	59.81	47.40	5	5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1712	15	15	13110.70	874.05	792.80	4.2	12.53	13.33	0.00	REGULAR	2026-05-15 08:45:03.073
2794	23	24	10022.07	417.59	400.36	4.29	10.25	16.67	12.50	REGULAR	2026-05-15 08:45:03.073
209	3	4	140.86	35.22	20.76	5	6.75	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
3040	18	18	12758.93	708.83	679.32	3.94	11.94	5.56	11.11	REGULAR	2026-05-15 08:45:03.073
2130	9	23	1308.40	56.89	46.29	3.96	7.7	8.70	0.00	REGULAR	2026-05-15 08:45:03.073
1048	6	10	483.37	48.34	29.48	3.2	11.33	20.00	10.00	REGULAR	2026-05-15 08:45:03.073
2376	4	4	5760.96	1440.24	1349.00	3.25	15.25	0.00	25.00	REGULAR	2026-05-15 08:45:03.073
2276	14	15	3706.50	247.10	230.99	4.13	11.2	20.00	6.67	REGULAR	2026-05-15 08:45:03.073
2817	34	34	10332.19	303.89	282.91	3.94	15.15	14.71	0.00	REGULAR	2026-05-15 08:45:03.073
2399	44	44	13546.33	307.87	286.17	4.48	11.12	4.55	2.27	REGULAR	2026-05-15 08:45:03.073
2940	9	30	3813.18	127.11	104.91	4.7	15.5	0.00	50.00	REGULAR	2026-05-15 08:45:03.073
3063	8	8	990.88	123.86	105.97	4.63	8.63	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1735	3	8	252.77	31.60	15.15	1	42.13	87.50	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1998	65	67	8340.60	124.49	108.71	3.81	11.45	8.96	5.97	REGULAR	2026-05-15 08:45:03.073
670	5	10	480.67	48.07	28.87	4.6	8.5	0.00	30.00	REGULAR	2026-05-15 08:45:03.073
1251	3	3	695.70	231.90	176.57	2.67	8	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1002	7	8	931.22	116.40	97.89	4.13	10.38	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
919	2	2	258.87	129.44	99.50	3	12.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1357	3	3	676.01	225.34	185.67	3.67	6.33	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
361	3	3	291.62	97.21	78.04	5	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1689	7	7	445.50	63.64	42.86	2	9.86	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
564	5	6	413.26	68.88	49.00	4.33	14.17	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
232	1	1	309.32	309.32	249.99	3	22	100.00	0.00	DELAY_RISK	2026-05-15 08:45:03.073
2685	1	1	175.09	175.09	155.90	5	7	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2625	9	10	778.27	77.83	59.90	4.8	11.78	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1297	18	22	2410.68	109.58	94.32	4.55	8.14	4.55	9.09	REGULAR	2026-05-15 08:45:03.073
965	6	6	247.86	41.31	28.63	4	13.5	16.67	0.00	REGULAR	2026-05-15 08:45:03.073
2293	2	2	157.51	78.76	59.95	3	48	100.00	0.00	DELAY_RISK	2026-05-15 08:45:03.073
1606	91	104	5003.96	48.12	32.77	4.18	13.23	8.65	3.85	REGULAR	2026-05-15 08:45:03.073
278	123	147	49098.96	334.01	274.31	4.14	12.01	8.16	4.76	REGULAR	2026-05-15 08:45:03.073
1938	16	17	1504.98	88.53	71.53	4.41	10.29	23.53	0.00	REGULAR	2026-05-15 08:45:03.073
610	4	4	265.53	66.38	53.30	5	5.75	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
315	1	1	715.34	715.34	699.42	1	14	100.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
3080	88	90	13319.55	148.00	127.77	4.21	8.91	3.33	3.33	REGULAR	2026-05-15 08:45:03.073
169	87	89	11520.21	129.44	112.60	4.3	9.55	1.12	4.49	REGULAR	2026-05-15 08:45:03.073
1503	61	71	9900.36	139.44	111.67	3.55	12.8	5.63	2.82	REGULAR	2026-05-15 08:45:03.073
418	9	9	1125.61	125.07	111.06	4.33	18.22	33.33	11.11	DELAY_RISK	2026-05-15 08:45:03.073
424	2	3	227.67	75.89	58.23	4.33	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2831	3	4	382.30	95.58	79.15	4.75	9	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1752	1	1	2028.75	2028.75	1999.00	5	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2980	26	26	3501.69	134.68	118.17	4	11.73	7.69	7.69	REGULAR	2026-05-15 08:45:03.073
1105	39	44	3035.39	68.99	53.14	4.73	14.98	2.27	9.09	REGULAR	2026-05-15 08:45:03.073
2439	81	82	13234.74	161.40	143.76	4.05	10.13	7.32	7.32	REGULAR	2026-05-15 08:45:03.073
2144	6	7	533.88	76.27	62.19	4	8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
816	1	1	205.40	205.40	189.90	4	10	0.00	100.00	REGULAR	2026-05-15 08:45:03.073
2044	54	55	18887.32	343.41	323.01	4.05	17.94	14.55	5.45	REGULAR	2026-05-15 08:45:03.073
2877	3	3	998.41	332.80	288.67	2.67	15	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2731	5	5	15200.56	3040.11	2999.89	4.8	12.4	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2190	1	2	237.67	118.84	97.35	5	14	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1506	1143	1154	160690.14	139.25	121.44	4.2	11.11	5.81	3.64	TOP_SELLER	2026-05-15 08:45:03.073
3000	117	126	11972.00	95.02	71.34	4.07	12.29	6.35	4.76	REGULAR	2026-05-15 08:45:03.073
1838	63	64	20181.23	315.33	296.39	3.97	13.38	6.25	0.00	REGULAR	2026-05-15 08:45:03.073
2004	8	9	1451.56	161.28	142.39	4.89	10.56	0.00	11.11	REGULAR	2026-05-15 08:45:03.073
2502	4	7	496.03	70.86	41.00	4.86	14.43	42.86	71.43	DELAY_RISK	2026-05-15 08:45:03.073
2336	1	1	24.00	24.00	9.90	5	14	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2857	17	33	2061.40	62.47	34.00	2.67	14.67	18.18	3.03	LOW_REVIEW	2026-05-15 08:45:03.073
2359	1	1	218.95	218.95	188.90	2	13	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1128	2	2	183.89	91.95	63.40	4.5	12.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2124	7	11	3078.15	279.83	263.97	3.27	9.83	0.00	9.09	REGULAR	2026-05-15 08:45:03.073
132	6	6	1564.72	260.79	241.57	4.17	9	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1457	2	2	2630.68	1315.34	1199.99	5	18.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
464	1	1	111.76	111.76	96.99	5	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
793	1	1	317.37	317.37	239.90	5	18	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2147	335	361	57931.48	160.48	142.54	4.07	13.98	8.31	4.16	HIGH_PERFORMER	2026-05-15 08:45:03.073
2479	9	9	1738.32	193.15	164.59	4.44	5	0.00	11.11	REGULAR	2026-05-15 08:45:03.073
1483	11	11	1394.95	126.81	110.00	4.91	7.27	0.00	9.09	REGULAR	2026-05-15 08:45:03.073
438	12	12	8806.18	733.85	644.08	4.75	8.08	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2837	1121	1176	53215.98	45.25	30.71	3.93	13.31	10.46	5.44	HIGH_PERFORMER	2026-05-15 08:45:03.073
750	40	40	4726.57	118.16	95.74	4.33	13.77	15.00	2.50	REGULAR	2026-05-15 08:45:03.073
673	16	17	2101.35	123.61	98.92	3.94	10.82	11.76	0.00	REGULAR	2026-05-15 08:45:03.073
1171	8	8	1253.01	156.63	135.00	4.75	6.13	0.00	12.50	REGULAR	2026-05-15 08:45:03.073
507	6	6	834.72	139.12	126.35	4	14	16.67	0.00	REGULAR	2026-05-15 08:45:03.073
2665	4	4	481.48	120.37	106.05	4.75	6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2671	1	1	108.60	108.60	87.90	5	18	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
109	25	27	2801.56	103.76	86.60	4.37	5.5	3.70	3.70	REGULAR	2026-05-15 08:45:03.073
1271	22	23	4164.06	181.05	162.71	3.65	12.61	13.04	21.74	REGULAR	2026-05-15 08:45:03.073
650	26	30	1842.26	61.41	47.78	3.57	12.77	16.67	3.33	REGULAR	2026-05-15 08:45:03.073
607	6	6	3853.85	642.31	596.66	3.83	14.83	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
773	8	8	1309.87	163.73	134.88	2.75	18.13	25.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1812	10	10	2225.84	222.58	204.65	4	13.56	20.00	0.00	REGULAR	2026-05-15 08:45:03.073
1148	4	4	819.11	204.78	188.18	5	6.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1314	2	2	59.38	29.69	15.90	3	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2814	1	1	3009.53	3009.53	2951.00	4	27	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1463	64	69	20455.29	296.45	245.10	4.12	10.64	2.90	7.25	REGULAR	2026-05-15 08:45:03.073
630	8	8	2578.50	322.31	291.54	4.63	10.75	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
458	36	38	8945.78	235.42	216.95	4.24	12.39	7.89	2.63	REGULAR	2026-05-15 08:45:03.073
2545	1	1	298.05	298.05	289.00	1	NULL	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1291	1	1	76.64	76.64	61.90	5	4	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2645	8	8	1573.77	196.72	180.25	4.63	8	0.00	12.50	REGULAR	2026-05-15 08:45:03.073
481	1	1	127.20	127.20	109.99	4	16	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2522	16	21	7219.81	343.80	294.32	3.52	13.9	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2104	9	12	1065.49	88.79	75.15	4.83	7.17	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1981	3	4	399.25	99.81	75.40	4.25	12.75	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1440	2	2	117.06	58.53	47.50	3.5	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1334	166	176	16854.37	95.76	77.24	3.87	12.05	6.82	6.82	REGULAR	2026-05-15 08:45:03.073
1832	26	29	2250.85	77.62	63.07	4.07	5.79	3.45	3.45	REGULAR	2026-05-15 08:45:03.073
338	9	9	1006.66	111.85	87.33	3.78	19	11.11	0.00	REGULAR	2026-05-15 08:45:03.073
89	4	4	403.22	100.81	84.24	4.75	5.25	0.00	25.00	REGULAR	2026-05-15 08:45:03.073
836	2	2	2822.75	1411.38	1359.00	5	17.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1085	3	3	328.85	109.62	93.26	2.33	7	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1583	3	5	247.05	49.41	39.34	4.2	8	0.00	40.00	REGULAR	2026-05-15 08:45:03.073
587	1	1	239.04	239.04	181.00	5	15	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1191	10	11	442.14	40.19	26.05	3.91	13.18	18.18	9.09	REGULAR	2026-05-15 08:45:03.073
1228	7	7	591.83	84.55	69.99	2	NULL	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2353	3	3	223.52	74.51	61.90	2.33	15.5	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2900	5	5	4533.87	906.77	879.70	4.2	8.2	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
195	3	3	910.83	303.61	283.23	3.67	15.33	33.33	0.00	DELAY_RISK	2026-05-15 08:45:03.073
693	1	1	48.94	48.94	29.90	4	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
730	2	2	857.70	428.85	297.00	5	9	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2210	31	34	41596.29	1223.42	1197.65	3.97	6.82	2.94	0.00	REGULAR	2026-05-15 08:45:03.073
2957	5	7	432.07	61.72	51.07	2.86	10.57	14.29	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1961	8	8	948.53	118.57	105.15	3.88	10.88	0.00	25.00	REGULAR	2026-05-15 08:45:03.073
3043	1	1	471.05	471.05	453.70	5	8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2565	9	9	3067.41	340.82	322.48	3.89	17.56	33.33	0.00	DELAY_RISK	2026-05-15 08:45:03.073
979	13	14	3287.04	234.79	193.22	4.36	14.71	0.00	7.14	REGULAR	2026-05-15 08:45:03.073
2602	4	4	433.62	108.41	92.15	3.5	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
942	1	2	573.74	286.87	215.15	5	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2024	1	1	249.08	249.08	235.00	5	5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1918	13	14	1058.68	75.62	56.11	4.93	8.86	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2416	8	9	657.80	73.09	53.68	4.22	10.22	0.00	33.33	REGULAR	2026-05-15 08:45:03.073
1669	5	5	394.46	78.89	63.90	4.4	7.2	0.00	20.00	REGULAR	2026-05-15 08:45:03.073
2167	4	8	699.06	87.38	76.17	4.38	4.38	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
3	1	1	267.94	267.94	250.00	1	NULL	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
252	1	1	39.86	39.86	28.90	1	NULL	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2310	116	117	22502.13	192.33	169.16	4.21	12.41	5.13	2.56	REGULAR	2026-05-15 08:45:03.073
1818	30	35	6542.72	186.93	162.13	3.83	13.5	0.00	20.00	REGULAR	2026-05-15 08:45:03.073
1775	43	58	8980.79	154.84	136.30	3.74	11.81	15.52	3.45	REGULAR	2026-05-15 08:45:03.073
152	159	178	14189.55	79.72	65.38	3.89	10.29	6.18	3.93	REGULAR	2026-05-15 08:45:03.073
1277	5	5	625.84	125.17	97.54	4.2	7.8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2316	9	9	1376.74	152.97	132.14	4.78	11.33	11.11	0.00	REGULAR	2026-05-15 08:45:03.073
146	1	1	30.86	30.86	19.90	5	3	0.00	100.00	REGULAR	2026-05-15 08:45:03.073
1769	13	14	1677.81	119.84	100.04	2.93	12.5	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2459	74	82	5675.41	69.21	50.47	3.49	19.96	23.17	4.88	REGULAR	2026-05-15 08:45:03.073
544	4	5	942.73	188.55	169.18	2.6	15.75	0.00	60.00	LOW_REVIEW	2026-05-15 08:45:03.073
1626	3	3	101.38	33.79	20.23	5	18	33.33	33.33	DELAY_RISK	2026-05-15 08:45:03.073
1377	7	7	869.73	124.25	111.54	4.14	4.71	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2708	2	2	64.12	32.06	24.63	4.5	3.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1526	19	19	8114.60	427.08	408.00	4	15.74	15.79	0.00	REGULAR	2026-05-15 08:45:03.073
985	7	7	1493.23	213.32	184.90	3.57	16.43	14.29	0.00	REGULAR	2026-05-15 08:45:03.073
444	6	7	402.85	57.55	43.26	2.43	14.67	0.00	14.29	LOW_REVIEW	2026-05-15 08:45:03.073
2067	2	2	53.83	26.92	18.99	1.5	9	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2608	1	1	108.72	108.72	89.99	4	13	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1755	76	82	4757.57	58.02	44.80	4.21	9.95	6.10	6.10	REGULAR	2026-05-15 08:45:03.073
3083	2	2	570.34	285.17	268.95	5	10.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2087	5	12	753.62	62.80	35.32	4	13.92	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2751	2	2	106.46	53.23	35.00	3	21	50.00	0.00	DELAY_RISK	2026-05-15 08:45:03.073
2419	2	3	199.68	66.56	56.00	4.67	8.67	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2064	128	130	11605.77	89.28	70.80	4.38	12.42	4.62	5.38	REGULAR	2026-05-15 08:45:03.073
1400	37	45	1977.95	43.95	29.31	4.33	7.84	0.00	2.22	REGULAR	2026-05-15 08:45:03.073
3060	34	34	4792.77	140.96	112.26	4.56	8.85	2.94	17.65	REGULAR	2026-05-15 08:45:03.073
736	17	20	1288.57	64.43	42.42	4.35	14	10.00	5.00	REGULAR	2026-05-15 08:45:03.073
1732	13	16	969.60	60.60	46.66	3.13	17	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
189	22	25	1129.34	45.17	30.81	4.64	9.84	4.00	4.00	REGULAR	2026-05-15 08:45:03.073
2728	8	20	1204.91	60.25	45.21	2.8	8	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2396	2	3	100.01	33.34	22.00	3.67	4.67	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1068	1	1	270.45	270.45	235.00	3	NULL	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
521	1	1	68.35	68.35	49.90	3	12	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2774	28	29	7477.33	257.84	230.99	4.34	12.04	10.34	3.45	REGULAR	2026-05-15 08:45:03.073
2442	8	9	916.23	101.80	80.24	4.67	4.89	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1586	97	99	14100.39	142.43	115.17	4.25	11.48	4.04	5.05	REGULAR	2026-05-15 08:45:03.073
335	33	37	1530.25	41.36	24.80	4.54	13.97	10.81	5.41	REGULAR	2026-05-15 08:45:03.073
2914	16	22	3049.29	138.60	125.52	4.36	13.95	9.09	0.00	REGULAR	2026-05-15 08:45:03.073
922	5	5	1689.99	338.00	295.00	4.4	6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2920	2	3	1127.41	375.80	289.78	2.33	7	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
999	2	2	75.10	37.55	29.90	5	10	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2250	2	3	201.70	67.23	36.00	2.33	10.67	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1609	13	17	1099.40	64.67	47.10	4.76	9	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2273	3	3	246.22	82.07	67.60	2.33	22.67	66.67	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2937	1	1	169.00	169.00	145.00	5	5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1709	931	1006	31339.05	31.15	17.24	3.98	12.6	10.24	3.38	REGULAR	2026-05-15 08:45:03.073
1540	1	1	204.81	204.81	189.90	5	7	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2373	1	1	45.01	45.01	29.90	4	22	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1045	39	41	4849.38	118.28	97.62	4.49	13.66	7.32	2.44	REGULAR	2026-05-15 08:45:03.073
876	5	5	1622.11	324.42	307.90	3.8	5.8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
381	1	1	173.68	173.68	159.90	5	8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
212	4	6	2519.63	419.94	394.80	3.83	6.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1563	97	103	12633.18	122.65	106.60	4.03	12.7	6.80	3.88	REGULAR	2026-05-15 08:45:03.073
235	7	13	821.15	63.17	49.63	4.77	12.85	15.38	0.00	REGULAR	2026-05-15 08:45:03.073
358	21	27	2129.73	78.88	62.72	3.07	19.46	22.22	7.41	REGULAR	2026-05-15 08:45:03.073
1686	7	7	1540.20	220.03	202.80	2.57	10.83	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2227	3	3	572.17	190.72	163.33	5	21	0.00	33.33	REGULAR	2026-05-15 08:45:03.073
899	2	2	192.46	96.23	79.90	5	10.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1022	2	2	63.92	31.96	16.42	3	5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
421	41	46	6216.56	135.14	117.00	4.3	11.54	15.22	2.17	REGULAR	2026-05-15 08:45:03.073
1749	64	64	9994.14	156.16	138.17	3.94	12.19	9.38	1.56	REGULAR	2026-05-15 08:45:03.073
1500	2	2	568.36	284.18	269.00	1	NULL	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
1168	4	4	884.31	221.08	195.99	4	10.25	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
172	3	3	192.10	64.03	46.93	4.67	6.67	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
753	3	3	251.92	83.97	66.87	5	8	0.00	33.33	REGULAR	2026-05-15 08:45:03.073
3066	7	7	2971.55	424.51	386.99	4.43	10.57	14.29	0.00	REGULAR	2026-05-15 08:45:03.073
859	7	7	1027.37	146.77	125.61	4.43	10.14	0.00	28.57	REGULAR	2026-05-15 08:45:03.073
1855	5	5	598.87	119.77	99.90	4.8	16.8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
2187	1	1	103.70	103.70	85.00	5	13	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
66	1	1	59.39	59.39	42.90	5	11	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1062	2	2	148.92	74.46	62.63	5	6	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
527	1	1	129.64	129.64	109.90	5	8	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1546	4	4	141.85	35.46	24.72	4.25	4.5	0.00	0.00	REGULAR	2026-05-15 08:45:03.073
1214	6	6	1125.49	187.58	172.93	1.5	25.33	66.67	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
2379	8	9	12533.60	1392.62	1329.09	2.67	11.8	0.00	0.00	LOW_REVIEW	2026-05-15 08:45:03.073
