customer_sk	customer_unique_id	customer_city	customer_state	first_order_date	last_order_date	lifetime_orders	lifetime_value	avg_order_value	is_repeat_customer	customer_segment	dwh_create_date
25	001147e649a7b1afd577e873841632dd	maringa	PR	2017-08-31	2017-08-31	1	212.16	212.16	0	NEW	2026-05-13 10:04:56.520
26	00115fc7123b5310cf6d3a3aa932699e	brasilia	DF	2017-01-21	2017-01-21	1	76.11	76.11	0	NEW	2026-05-13 10:04:56.520
27	0011805441c0d1b68b48002f1d005526	goianesia do para	PA	2017-04-24	2017-04-24	1	297.14	297.14	0	NEW	2026-05-13 10:04:56.520
28	0011857aff0e5871ce5eb429f21cdaf5	santo andre	SP	2017-06-28	2017-06-28	1	192.83	192.83	0	NEW	2026-05-13 10:04:56.520
29	0011c98589159d6149979563c504cb21	campos altos	MG	2017-08-05	2017-08-05	1	117.94	117.94	0	NEW	2026-05-13 10:04:56.520
30	0012929d977a8d7280bb277c1e5f589d	canoas	RS	2017-10-17	2017-10-17	1	155.65	155.65	0	NEW	2026-05-13 10:04:56.520
31	0014a5a58da615f7b01a4f5e194bf5ea	sao paulo	SP	2018-01-18	2018-01-18	1	99.82	99.82	0	NEW	2026-05-13 10:04:56.520
32	0015752e079902b12cd00b9b7596276b	sao paulo	SP	2018-08-02	2018-08-02	1	74.82	74.82	0	NEW	2026-05-13 10:04:56.520
33	00172711b30d52eea8b313a7f2cced02	jequie	BA	2018-07-28	2018-08-13	2	244.14	122.07	1	REGULAR	2026-05-13 10:04:56.520
34	00191a9719ef48ebb5860b130347bf33	jarinu	SP	2017-04-19	2017-04-19	1	58.86	58.86	0	NEW	2026-05-13 10:04:56.520
35	001926cef41060fae572e2e7b30bd2a4	nova canaa do norte	MT	2017-08-17	2017-08-17	1	91.21	91.21	0	NEW	2026-05-13 10:04:56.520
36	001928b561575b2821c92254a2327d06	sao paulo	SP	2018-08-24	2018-08-24	1	164.81	164.81	0	NEW	2026-05-13 10:04:56.520
37	00196c4c9a3af7dd2ad10eade69c926f	vinhedo	SP	2018-07-28	2018-07-28	1	37.58	37.58	0	NEW	2026-05-13 10:04:56.520
38	00196fdb2bf9edfc35e88ebfbcf8d781	canoas	RS	2018-02-22	2018-02-22	1	27.00	27.00	0	NEW	2026-05-13 10:04:56.520
39	0019da6aa6bcb27cc32f1249bd12da05	limeira	SP	2018-02-11	2018-02-11	1	87.71	87.71	0	NEW	2026-05-13 10:04:56.520
40	0019e8c501c85848ac0966d45226fa1d	cuiaba	MT	2018-05-01	2018-05-01	1	197.27	197.27	0	NEW	2026-05-13 10:04:56.520
41	001a2bf0e46c684031af91fb2bce149d	sao paulo	SP	2017-06-29	2017-06-29	1	36.73	36.73	0	NEW	2026-05-13 10:04:56.520
42	001a34eb30ecb8e3aacb07c475ca4dd1	sao paulo	SP	2018-07-11	2018-07-11	1	161.71	161.71	0	NEW	2026-05-13 10:04:56.520
43	001a3a8e11d76c9a366c31a4aa2cc529	porto alegre	RS	2018-05-21	2018-05-21	1	24.23	24.23	0	NEW	2026-05-13 10:04:56.520
44	001ae44fa04911a9e9577356dce6c63c	sao caetano do sul	SP	2017-11-06	2017-11-06	1	116.23	116.23	0	NEW	2026-05-13 10:04:56.520
45	001ae5a1788703d64536c30362503e49	volta redonda	RJ	2017-12-08	2017-12-08	1	135.08	135.08	0	NEW	2026-05-13 10:04:56.520
46	001deb796b28a3a128d6113857569aa4	rio de janeiro	RJ	2018-06-22	2018-06-22	1	63.33	63.33	0	NEW	2026-05-13 10:04:56.520
47	001f3c4211216384d5fe59b041ce1461	sao paulo	SP	2017-03-19	2017-03-19	1	35.84	35.84	0	NEW	2026-05-13 10:04:56.520
48	002043098f10ba39a4600b6c52fbfe3c	aracaju	SE	2017-03-26	2017-03-26	1	237.81	237.81	0	NEW	2026-05-13 10:04:56.520
49	0023557a94bef0038066b5d1b3dc763e	potirendaba	SP	2018-03-28	2018-03-28	1	107.44	107.44	0	NEW	2026-05-13 10:04:56.520
50	002471155ecd08d208d1376720e2a907	itajai	SC	2018-08-08	2018-08-08	1	92.18	92.18	0	NEW	2026-05-13 10:04:56.520
51	00256bf7b05c08f6a5849df3d0a64f1f	sao paulo	SP	2018-06-01	2018-06-01	1	57.73	57.73	0	NEW	2026-05-13 10:04:56.520
52	0025795df7a7d077c4c90162fa820085	sao paulo	SP	2018-07-24	2018-07-24	1	214.08	214.08	0	NEW	2026-05-13 10:04:56.520
53	0027324a96d26a2bc7d69262f83c8403	sao jose dos campos	SP	2018-03-25	2018-03-25	1	46.78	46.78	0	NEW	2026-05-13 10:04:56.520
54	0028a7d8db7b0247652509358ad8d755	valinhos	SP	2017-12-13	2017-12-13	1	354.87	354.87	0	NEW	2026-05-13 10:04:56.520
55	0028cfeb9dfcd3628a56d5b6400deef5	serrana	SP	2018-01-07	2018-01-07	1	118.20	118.20	0	NEW	2026-05-13 10:04:56.520
56	00293787e2aec37a9c253b63fdfe2049	rio de janeiro	RJ	2017-10-27	2017-10-27	1	257.87	257.87	0	NEW	2026-05-13 10:04:56.520
57	0029bd580d3012618731f5abb174a07f	sao paulo	SP	2017-11-02	2017-11-02	1	52.38	52.38	0	NEW	2026-05-13 10:04:56.520
58	002aba8c1af80acacef6e011f9f23262	mangaratiba	RJ	2018-02-27	2018-02-27	1	217.74	217.74	0	NEW	2026-05-13 10:04:56.520
59	002ae492472e45ad6ebeb7a625409392	brasilia	DF	2017-10-08	2017-10-08	1	218.66	218.66	0	NEW	2026-05-13 10:04:56.520
60	002b4cd83fabaffaa475f78ea5ef3e08	sao sebastiao do paraiso	MG	2017-02-01	2017-02-01	1	64.42	64.42	0	NEW	2026-05-13 10:04:56.520
61	002bdeb33da5b1b3ce8b9c822f749c82	palhoca	SC	2017-12-05	2017-12-05	1	38.09	38.09	0	NEW	2026-05-13 10:04:56.520
62	002cdf87d4c03f08f7eb4551a923affc	hortolandia	SP	2017-10-31	2017-10-31	1	228.67	228.67	0	NEW	2026-05-13 10:04:56.520
63	002d3bd901608f67c3fc11eaaa842b13	santo andre	SP	2018-01-15	2018-01-15	1	28.76	28.76	0	NEW	2026-05-13 10:04:56.520
64	002d71b244beb91ca7030b15ab526446	santa cruz do rio pardo	SP	2017-05-22	2017-05-22	1	130.56	130.56	0	NEW	2026-05-13 10:04:56.520
65	002da6dde369f6a8b4c999ed61eb5a87	sao paulo	SP	2018-04-12	2018-04-12	1	52.38	52.38	0	NEW	2026-05-13 10:04:56.520
66	002eb8b96288f3804e21d2777ac29895	betim	MG	2017-07-22	2017-07-22	1	137.99	137.99	0	NEW	2026-05-13 10:04:56.520
67	002ed12115742033f015cb3c269ccf68	santo andre	SP	2018-01-30	2018-01-30	1	109.79	109.79	0	NEW	2026-05-13 10:04:56.520
68	002ef00822613c94613e60e03b169fef	pitanga	PR	2018-02-14	2018-02-14	1	114.04	114.04	0	NEW	2026-05-13 10:04:56.520
69	002feefec5af0a3b26ee7839c66d205e	rio de janeiro	RJ	2017-10-29	2017-10-29	1	77.57	77.57	0	NEW	2026-05-13 10:04:56.520
70	003035f5ec76f2220098377482de93c9	divinopolis	MG	2017-08-28	2017-08-28	1	62.47	62.47	0	NEW	2026-05-13 10:04:56.520
71	003162bf0351f47a1a247992b8b9b42d	serra	ES	2018-07-14	2018-07-14	1	536.60	536.60	0	NEW	2026-05-13 10:04:56.520
72	00324c9f4d710e7bac5c5ba679714430	paraiso do tocantins	TO	2017-06-21	2017-06-21	1	109.78	109.78	0	NEW	2026-05-13 10:04:56.520
73	0032c76b20340da25249092a268ce66c	charqueada	SP	2016-10-06	2016-10-06	1	144.94	144.94	0	NEW	2026-05-13 10:04:56.520
74	0032ca69771a7758ce643258bb9e4ac7	sao paulo	SP	2018-07-16	2018-07-16	1	62.45	62.45	0	NEW	2026-05-13 10:04:56.520
75	0033f4a2887e07e25aa1204d482f41ba	salvador	BA	2018-06-26	2018-06-26	1	425.04	425.04	0	NEW	2026-05-13 10:04:56.520
76	00344274804f3b8003de1b0562ae01df	afranio	PE	2018-07-09	2018-07-09	1	226.23	226.23	0	NEW	2026-05-13 10:04:56.520
77	0034c76b7e6a17d738375b99afc2f01e	paraisopolis	MG	2018-05-07	2018-05-07	1	44.23	44.23	0	NEW	2026-05-13 10:04:56.520
78	0035029989e6fc5cf030918a5f9f2037	sao paulo	SP	2018-05-12	2018-05-12	1	546.12	546.12	0	NEW	2026-05-13 10:04:56.520
79	003650b504826ea534e02eba0ab58dd5	sao paulo	SP	2018-01-17	2018-01-17	1	21.77	21.77	0	NEW	2026-05-13 10:04:56.520
80	0036a074f98b80c4f1fc33dbbcf9c552	santa rosa	RS	2017-05-12	2017-05-12	1	42.62	42.62	0	NEW	2026-05-13 10:04:56.520
81	0036b4a3d09ad551a5188c2e374da402	maringa	PR	2017-08-09	2017-08-09	1	162.77	162.77	0	NEW	2026-05-13 10:04:56.520
82	0036d365b138cc0ee06bed755bcb5044	pindobacu	BA	2018-01-31	2018-01-31	1	109.50	109.50	0	NEW	2026-05-13 10:04:56.520
83	00370dfde3d012c420d29657afc2fc8b	candelaria	RS	2018-01-29	2018-01-29	1	237.00	237.00	0	NEW	2026-05-13 10:04:56.520
84	00377a18050b898b93e2c774be9947db	cuiaba	MT	2017-11-25	2017-11-25	1	65.78	65.78	0	NEW	2026-05-13 10:04:56.520
85	0037aa56b017c105c3a9d47af71fff98	belo horizonte	MG	2018-01-26	2018-01-26	1	443.73	443.73	0	NEW	2026-05-13 10:04:56.520
86	0037d2bbb9ebc39d9114aea27ee16d72	sao paulo	SP	2017-03-27	2017-03-27	1	143.73	143.73	0	NEW	2026-05-13 10:04:56.520
87	0037eb1ff742ee2e71ba887f65f3c6f3	jaboatao dos guararapes	PE	2017-07-13	2017-07-13	1	228.79	228.79	0	NEW	2026-05-13 10:04:56.520
88	003800162424b7b5b3d75c9cf22a66e7	feira de santana	BA	2018-04-01	2018-04-01	1	107.81	107.81	0	NEW	2026-05-13 10:04:56.520
89	00391594070baf8603f5fdc1d0c6a48c	aracatuba	SP	2018-08-05	2018-08-05	1	119.32	119.32	0	NEW	2026-05-13 10:04:56.520
90	003a5571a07dcf09bf117d13d2980ba3	salvador	BA	2018-07-25	2018-07-25	1	181.82	181.82	0	NEW	2026-05-13 10:04:56.520
91	003a7a8eb096ed3cbf713d2def1ca701	sao domingos do maranhao	MA	2018-08-14	2018-08-14	1	157.46	157.46	0	NEW	2026-05-13 10:04:56.520
92	003ac9408252444b489b1bfc013f5f8c	tapirai	SP	2018-03-16	2018-03-16	1	36.98	36.98	0	NEW	2026-05-13 10:04:56.520
93	003ae409f37c3c30cb1c974af3a42692	lagoa santa	MG	2018-08-15	2018-08-15	1	216.32	216.32	0	NEW	2026-05-13 10:04:56.520
94	003c2067070f5b3d923235b1ea1cc17b	aiuaba	CE	2018-08-06	2018-08-06	1	147.38	147.38	0	NEW	2026-05-13 10:04:56.520
95	003c457932a554e4df13834237b1ed00	sorocaba	SP	2018-01-05	2018-01-05	1	142.51	142.51	0	NEW	2026-05-13 10:04:56.520
96	003d56767e53e08671de00da3fba8d40	itajuba	MG	2017-12-01	2017-12-01	1	178.59	178.59	0	NEW	2026-05-13 10:04:56.520
97	003db7adfcdc49857b095a50191b6c9d	suzano	SP	2018-05-02	2018-05-02	1	542.66	542.66	0	NEW	2026-05-13 10:04:56.520
98	003e28cb6fab8a0901bff9229612375f	curitiba	PR	2017-03-13	2017-03-13	1	137.26	137.26	0	NEW	2026-05-13 10:04:56.520
99	003e2af81ea3c72fbdd093f07724a4de	sao paulo	SP	2018-04-16	2018-04-16	1	63.74	63.74	0	NEW	2026-05-13 10:04:56.520
100	003f4901fdb60ae9c1e2538b84c208e1	brasilia	DF	2017-11-19	2017-11-19	1	162.79	162.79	0	NEW	2026-05-13 10:04:56.520
101	003fb95e849e71e732629d94bb92762f	bebedouro	SP	2018-07-30	2018-07-30	1	77.59	77.59	0	NEW	2026-05-13 10:04:56.520
102	003fee4ca17927283128c7ddc6f9311b	nova friburgo	RJ	2018-05-08	2018-05-08	1	103.47	103.47	0	NEW	2026-05-13 10:04:56.520
103	004177f7bf62929186b32c7fdaa6157b	rio de janeiro	RJ	2017-10-19	2017-10-19	1	433.98	433.98	0	NEW	2026-05-13 10:04:56.520
104	004256f082951ec189a4962b6788c214	sao paulo	SP	2018-03-23	2018-03-23	1	259.15	259.15	0	NEW	2026-05-13 10:04:56.520
105	004288347e5e88a27ded2bb23747066c	nova iguacu	RJ	2017-07-27	2018-01-14	2	354.37	177.19	1	REGULAR	2026-05-13 10:04:56.520
106	0042dcca0ae57aaec6e808edc31a2d48	maceio	AL	2017-12-02	2017-12-02	1	85.04	85.04	0	NEW	2026-05-13 10:04:56.520
107	0042dfa8925d6eb23e471ec350454f04	sumare	SP	2018-07-25	2018-07-25	1	62.91	62.91	0	NEW	2026-05-13 10:04:56.520
108	0043d65f8039b4a4d43bc7b0f450ac2c	belo horizonte	MG	2017-04-20	2017-04-20	1	64.42	64.42	0	NEW	2026-05-13 10:04:56.520
109	00444f48f6c9b55657e49435ce3a97ca	uberlandia	MG	2017-06-09	2017-06-09	1	52.38	52.38	0	NEW	2026-05-13 10:04:56.520
110	00446a03d7a34d191507c9e42870d0a5	sao paulo	SP	2017-03-06	2017-03-06	1	128.95	128.95	0	NEW	2026-05-13 10:04:56.520
111	004493e0b0a37317d25665d340c0677d	rio de janeiro	RJ	2018-06-06	2018-06-06	1	83.32	83.32	0	NEW	2026-05-13 10:04:56.520
112	0045e9ad4d6c85d2323a7ab374b76183	barbacena	MG	2018-06-19	2018-06-19	1	24.13	24.13	0	NEW	2026-05-13 10:04:56.520
113	0046311f458d8041b00063cb99482903	sao paulo	SP	2017-08-01	2017-08-01	1	112.33	112.33	0	NEW	2026-05-13 10:04:56.520
114	0047f3e16441284d757a8963344f6c59	lencois paulista	SP	2017-08-28	2017-08-28	1	76.18	76.18	0	NEW	2026-05-13 10:04:56.520
115	0048706e497cfba0b689e1e3497bc99e	jaboticabal	SP	2018-08-15	2018-08-15	1	82.65	82.65	0	NEW	2026-05-13 10:04:56.520
116	0048a779a98a7848514096ff04046079	contagem	MG	2018-08-08	2018-08-08	1	41.04	41.04	0	NEW	2026-05-13 10:04:56.520
117	0049a16516d38fc2246696172a257f16	sao paulo	SP	2017-12-29	2017-12-29	1	32.77	32.77	0	NEW	2026-05-13 10:04:56.520
118	0049dadc30da6a277c1e9d371df5a66f	brasilia	DF	2017-06-13	2017-06-13	1	26.01	26.01	0	NEW	2026-05-13 10:04:56.520
119	0049db44bfd6cee26ac9c649329ff6ea	piracicaba	SP	2017-03-07	2017-03-07	1	109.04	109.04	0	NEW	2026-05-13 10:04:56.520
120	0049ec2d7a5818d0e4b3f4735cec2458	londrina	PR	2018-07-19	2018-07-19	1	44.18	44.18	0	NEW	2026-05-13 10:04:56.520
121	004a432489f6630c6dfd3fc4454603f5	curitiba	PR	2017-12-16	2017-12-16	1	84.01	84.01	0	NEW	2026-05-13 10:04:56.520
122	004ad212c650c96c8a48f30855a7bcb8	ataleia	MG	2017-09-24	2017-09-24	1	25.90	25.90	0	NEW	2026-05-13 10:04:56.520
123	004b45ec5c64187465168251cd1c9c2f	maceio	AL	2017-09-01	2018-05-26	2	147.72	73.86	1	REGULAR	2026-05-13 10:04:56.520
124	004b9b1634b7becda8eec4e96bced882	santo andre	SP	2018-08-05	2018-08-05	1	158.74	158.74	0	NEW	2026-05-13 10:04:56.520
125	004d17fa2cb102a7c4817f040c884e59	sao paulo	SP	2018-02-13	2018-02-13	1	39.78	39.78	0	NEW	2026-05-13 10:04:56.520
126	004df63539fd5e38d4b0a0506de7549c	castanhal	PA	2018-07-16	2018-07-16	1	993.55	993.55	0	NEW	2026-05-13 10:04:56.520
127	004ed862ea4e55f18868d3d782d10879	sao bernardo do campo	SP	2017-08-06	2017-08-06	1	109.29	109.29	0	NEW	2026-05-13 10:04:56.520
128	004f84d065096f3cedd26cf0adc80b9d	campinas	SP	2018-04-25	2018-04-25	1	189.08	189.08	0	NEW	2026-05-13 10:04:56.520
129	00504b68faa074d0f40adcb4f7727f71	mendes	RJ	2018-08-11	2018-08-11	1	198.70	198.70	0	NEW	2026-05-13 10:04:56.520
130	0050dcff37f8b9ff611d245e30572b46	santiago	RS	2018-05-02	2018-05-02	1	68.22	68.22	0	NEW	2026-05-13 10:04:56.520
131	00522457bba00bba576a34fd9b4808fd	sao paulo	SP	2017-04-01	2017-04-01	1	127.98	127.98	0	NEW	2026-05-13 10:04:56.520
132	005226be8d5b972d0f72b4e8a79f322b	rio de janeiro	RJ	2018-04-01	2018-04-01	1	1600.51	1600.51	0	NEW	2026-05-13 10:04:56.520
133	00539155ce68fbe677934aebdb17e09b	sao paulo	SP	2018-04-29	2018-04-29	1	58.25	58.25	0	NEW	2026-05-13 10:04:56.520
134	00543330561a9088f8b3879114a7b008	esplanada	BA	2017-11-24	2017-11-24	1	73.96	73.96	0	NEW	2026-05-13 10:04:56.520
135	0055b522bc89cbfbf376d8b59a628470	fortaleza	CE	2017-03-03	2017-03-03	1	364.75	364.75	0	NEW	2026-05-13 10:04:56.520
136	0055bbb9c95f6acb8db89d1f6c316407	criciuma	SC	2018-02-14	2018-02-14	1	83.23	83.23	0	NEW	2026-05-13 10:04:56.520
137	0056c2dd794a5eede6164dcae635875a	pirapora	MG	2018-08-08	2018-08-08	1	171.88	171.88	0	NEW	2026-05-13 10:04:56.520
138	0056f26cb8f20916c3baa0e39fc30709	osasco	SP	2018-03-31	2018-03-31	1	109.23	109.23	0	NEW	2026-05-13 10:04:56.520
139	005754cb59f8ee5cdbb5cda9d138757e	macae	RJ	2018-07-21	2018-07-21	1	258.38	258.38	0	NEW	2026-05-13 10:04:56.520
140	00575b2023dedcc0f3e81a938834689b	nossa senhora das gracas	PR	2017-11-04	2017-11-04	1	32.38	32.38	0	NEW	2026-05-13 10:04:56.520
141	0057f64bff87f4698b4cbd338d62a2a8	sao paulo	SP	2018-08-21	2018-08-21	1	82.86	82.86	0	NEW	2026-05-13 10:04:56.520
142	0058e7db269cc11558913b42beb115d0	campinas	SP	2018-05-18	2018-05-18	1	78.88	78.88	0	NEW	2026-05-13 10:04:56.520
143	0058f300f57d7b93c477a131a59b36c3	salvador	BA	2018-02-19	2018-03-22	2	175.58	87.79	1	REGULAR	2026-05-13 10:04:56.520
144	0059acd36094bf670ec8b21be6c0044c	cachoeira de minas	MG	2017-06-12	2017-06-12	1	46.69	46.69	0	NEW	2026-05-13 10:04:56.520
145	005d8faa4cf789cf52fb880a8569880a	brasilia	DF	2018-05-11	2018-05-11	1	89.25	89.25	0	NEW	2026-05-13 10:04:56.520
146	005e32bc930906dc6b65fb9d11cce3e2	picada cafe	RS	2017-09-03	2017-09-03	1	49.60	49.60	0	NEW	2026-05-13 10:04:56.520
147	005ee3e015ec18092d7782e507cf68fe	rio branco	AC	2017-10-01	2017-10-01	1	187.96	187.96	0	NEW	2026-05-13 10:04:56.520
148	005f060d4223956c62b64e9567a36f0f	jundiai	SP	2018-05-22	2018-05-22	1	777.68	777.68	0	NEW	2026-05-13 10:04:56.520
149	005f4b46e70bbd3295a38e2fd28d6566	rio de janeiro	RJ	2017-11-02	2017-11-02	1	63.90	63.90	0	NEW	2026-05-13 10:04:56.520
150	005f6fa02633470267dcd1e3ecd0fa79	matao	SP	2018-07-27	2018-07-27	1	272.04	272.04	0	NEW	2026-05-13 10:04:56.520
151	005ff4ebe100db3eebbe6f7b19a8f99a	sao paulo	SP	2017-09-13	2017-09-13	1	236.81	236.81	0	NEW	2026-05-13 10:04:56.520
152	006031108b00e5f73b2426a50b50f9c0	sao paulo	SP	2017-09-03	2017-09-03	1	204.83	204.83	0	NEW	2026-05-13 10:04:56.520
153	00605a8897ed9ad73b5c93bebad2541a	campos dos goytacazes	RJ	2018-03-25	2018-03-25	1	31.13	31.13	0	NEW	2026-05-13 10:04:56.520
154	00626f29f9b57d3ef7c1739ff03e944e	teresina	PI	2018-04-11	2018-04-11	1	154.53	154.53	0	NEW	2026-05-13 10:04:56.520
155	0062adafa3846d9f372d8f1bde591b24	sao paulo	SP	2018-02-24	2018-02-24	1	149.87	149.87	0	NEW	2026-05-13 10:04:56.520
156	0063817060d662048ed08bccecaf45d5	matupa	MT	2018-01-12	2018-01-12	1	71.38	71.38	0	NEW	2026-05-13 10:04:56.520
157	0064a1b5f5cddd047c987b988a90c8c1	marilia	SP	2018-03-02	2018-03-02	1	269.20	269.20	0	NEW	2026-05-13 10:04:56.520
158	0064c96f536ac6250275482221834154	santana de parnaiba	SP	2018-06-20	2018-06-20	1	65.33	65.33	0	NEW	2026-05-13 10:04:56.520
159	00651d97d964127ccfc0e2e55464876d	campinas	SP	2018-02-26	2018-02-26	1	23.72	23.72	0	NEW	2026-05-13 10:04:56.520
160	0065f6fb341f013a95a8e11cdc98d07a	sao paulo	SP	2017-10-09	2017-10-09	1	119.32	119.32	0	NEW	2026-05-13 10:04:56.520
161	0065f7795a38381973a373c8b4939679	porto alegre	RS	2018-07-07	2018-07-07	1	31.22	31.22	0	NEW	2026-05-13 10:04:56.520
162	0066b328e72fd82fd7420bf849c0e8b4	osasco	SP	2017-09-04	2017-09-04	1	94.35	94.35	0	NEW	2026-05-13 10:04:56.520
163	0067d2652c12515146721538868bbd80	blumenau	SC	2018-06-19	2018-06-19	1	190.28	190.28	0	NEW	2026-05-13 10:04:56.520
164	0068bd2e9e76c018846dbc6e2bec5ac5	sao paulo	SP	2018-06-26	2018-06-26	1	79.51	79.51	0	NEW	2026-05-13 10:04:56.520
165	006a8c1784d622ebe06bab57e72ee045	rio de janeiro	RJ	2017-11-25	2017-11-25	1	66.64	66.64	0	NEW	2026-05-13 10:04:56.520
166	006ab6f5e82340e927757563a9fbe7e4	nova iguacu	RJ	2017-12-02	2017-12-02	1	300.60	300.60	0	NEW	2026-05-13 10:04:56.520
167	006b297ed73773b17d8874a2eb4466e8	lauro de freitas	BA	2018-04-09	2018-04-09	1	108.46	108.46	0	NEW	2026-05-13 10:04:56.520
168	006bbb235068a01d2e3e47fa09ccf53c	brasilia	DF	2018-02-15	2018-02-15	1	34.00	34.00	0	NEW	2026-05-13 10:04:56.520
169	006c10bfead12ac8d90486fb4ce4e603	sao bernardo do campo	SP	2018-06-14	2018-06-14	1	77.22	77.22	0	NEW	2026-05-13 10:04:56.520
170	006d763076d74d16d66e828e79ec1544	montes claros	MG	2017-08-05	2017-08-05	1	99.32	99.32	0	NEW	2026-05-13 10:04:56.520
171	006e937bd5a5e32043018a6d1521b5d5	salvador	BA	2017-12-10	2017-12-10	1	199.79	199.79	0	NEW	2026-05-13 10:04:56.520
172	006ec5b170182812131c7d9b219c036f	divinopolis	MG	2017-10-16	2017-10-16	1	61.77	61.77	0	NEW	2026-05-13 10:04:56.520
173	006f2f20cf0cd723624b99d0e8e40d0c	curitiba	PR	2018-02-10	2018-02-10	1	46.10	46.10	0	NEW	2026-05-13 10:04:56.520
174	00704e915ae0d4a236eace0267454cf9	sabara	MG	2017-07-31	2017-07-31	1	123.39	123.39	0	NEW	2026-05-13 10:04:56.520
175	00705dcbc0b9cad67abd658612770905	sao paulo	SP	2018-08-10	2018-08-10	1	47.93	47.93	0	NEW	2026-05-13 10:04:56.520
176	0071f46a072a9ae25bbe4438b15efe9c	aracatuba	SP	2017-02-01	2017-02-01	1	174.54	174.54	0	NEW	2026-05-13 10:04:56.520
177	00720f160ff500d3605a1bf403eb62d9	jundiai	SP	2018-05-19	2018-05-19	1	118.54	118.54	0	NEW	2026-05-13 10:04:56.520
178	00728bae3dec9c16b2193ab7e3195eb7	paty do alferes	RJ	2018-01-14	2018-01-14	1	211.01	211.01	0	NEW	2026-05-13 10:04:56.520
179	00737247e3dc1942da2c527ef3bd2709	vespasiano	MG	2018-03-24	2018-03-24	1	78.20	78.20	0	NEW	2026-05-13 10:04:56.520
